,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2022-01-01,1,0,3,10,0,3,0,3,0,0,0,0,0,0,20
ACHACACHI,atencion odontologica,medidas preventivas,2022-01-01,13,14,23,49,43,20,4,19,0,2,0,0,0,0,187
ACHOCALLA,atencion odontologica,medidas preventivas,2022-01-01,98,71,58,71,13,33,6,54,10,20,0,0,0,0,434
AIQUILE,atencion odontologica,medidas preventivas,2022-01-01,0,29,75,61,7,55,68,132,11,0,0,0,0,0,438
ALALAY,atencion odontologica,medidas preventivas,2022-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ALCALA,atencion odontologica,medidas preventivas,2022-01-01,3,3,4,1,0,1,1,2,0,0,0,0,0,0,15
ALTO BENI,atencion odontologica,medidas preventivas,2022-01-01,6,10,11,11,7,4,1,7,0,0,0,0,0,0,57
ANCORAIMES,atencion odontologica,medidas preventivas,2022-01-01,1,0,3,1,2,0,0,1,0,1,0,0,0,0,9
ANDAMARCA,atencion odontologica,medidas preventivas,2022-01-01,19,2,28,7,1,10,3,10,5,13,0,0,0,0,98
ANTEQUERA,atencion odontologica,medidas preventivas,2022-01-01,9,5,0,15,6,1,0,1,0,0,0,0,0,0,37
ANZALDO,atencion odontologica,medidas preventivas,2022-01-01,0,0,7,11,2,7,8,13,3,2,0,0,0,0,53
APOLO,atencion odontologica,medidas preventivas,2022-01-01,7,8,2,7,0,0,1,2,0,0,0,0,0,0,27
