,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2022-01-01,5,2,6,23,1,5,4,28,4,4,0,5,0,2,89
ACHACACHI,atencion odontologica,primera consulta,2022-01-01,9,9,44,36,34,31,49,116,19,20,0,30,0,4,401
ACHOCALLA,atencion odontologica,primera consulta,2022-01-01,84,55,73,79,17,39,33,130,17,27,0,28,0,18,600
AIQUILE,atencion odontologica,primera consulta,2022-01-01,0,8,1,3,0,3,1,6,0,0,0,10,0,0,32
ALALAY,atencion odontologica,primera consulta,2022-01-01,1,0,3,3,0,3,5,12,2,4,0,0,0,1,34
ALCALA,atencion odontologica,primera consulta,2022-01-01,9,4,11,14,2,16,12,31,3,1,0,2,0,1,106
ALTO BENI,atencion odontologica,primera consulta,2022-01-01,7,12,25,33,17,25,17,50,5,1,0,2,0,0,194
ANCORAIMES,atencion odontologica,primera consulta,2022-01-01,1,5,8,8,8,4,7,25,10,5,0,0,0,3,84
ANDAMARCA,atencion odontologica,primera consulta,2022-01-01,7,8,10,7,3,9,6,21,13,17,0,3,0,0,104
ANTEQUERA,atencion odontologica,primera consulta,2022-01-01,2,2,0,6,1,2,1,8,0,0,0,0,0,0,22
ANZALDO,atencion odontologica,primera consulta,2022-01-01,0,0,7,11,2,3,8,15,3,2,0,0,0,0,51
APOLO,atencion odontologica,primera consulta,2022-01-01,7,12,13,13,7,15,12,23,2,1,0,2,0,2,109
ARAMPAMPA,atencion odontologica,primera consulta,2022-01-01,3,1,6,2,0,2,10,7,2,2,0,2,0,2,39
