,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,1,1,0,0,1,2,0,0,0,0,0,0,5
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,3,1,0,0,0,0,0,3,0,0,0,0,7
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,1,0,1,1,0,0,3,3,0,0,0,0,9
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,11,8,11,24,12,31,4,3,0,0,0,0,104
LAJA,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2022-01-01,0,0,7,1,0,0,2,8,0,0,0,0,0,0,18
