,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,36,2,38
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,3,15
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,26,0,26
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,2,8
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,2,5
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,1,9
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,6,33
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,1,15
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,2,16
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,19,0,19
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,41,1,42
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,30,0,30
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,1,6
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,3,11
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,30,0,30
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,12,19
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,1,18
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,0,3,3
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,48,0,48
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,31,1,32
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,1,11
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,0,12
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,18,1,19
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,34,0,34
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,3,17
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,15,4,19
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,1,2
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,10,1,11
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,34,4,38
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,83,1,84
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,33,0,33
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,47,2,49
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,82,4,86
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,4,21
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,2,6
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,70,3,73
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,45,5,50
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,1,9
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,25,3,28
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,0,3
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,45,0,45
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,2,10
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,17,10,27
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,42,0,42
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,114,0,114
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,6,14
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1580,18,1598
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,138,0,138
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,8,0,8
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1,0,1
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,26,0,26
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,12,0,12
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,27,5,32
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,11,0,11
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,14,14,28
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,44,0,44
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,1,3
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,39,0,39
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,1,8
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,20,0,20
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,6,0,6
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,19,0,19
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,3,1,4
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,35,0,35
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,99,0,99
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,23,1,24
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,5,0,5
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,26,0,26
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,7,0,7
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,0,2
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,1624,2,1626
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,2,2,4
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,30,1,31
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,15,0,15
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,105,1,106
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,4,0,4
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,24,0,24
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,35,0,35
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,9,0,9
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2012-01-01,13,0,13
