,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,2,6
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,30,3,33
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,1,3
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,15,0,15
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,1,6
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,1,8
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,2,10
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,4,14
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,1,4
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,3,10
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,0,12
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,26,0,26
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,14,1,15
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,29,6,35
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,0,12
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,24,0,24
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,21,4,25
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,16,2,18
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,1,2
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,2,3
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,2,3
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,1,11
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,0,1,1
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,43,0,43
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,18,0,18
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,15,2,17
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,34,4,38
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,2,7
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,2,10
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
CHACARILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,36,5,41
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,0,7
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,34,0,34
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,3,9
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,12,1,13
CHOQUE COTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,15,0,15
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,6,16
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,2,5
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,2,12
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,19,0,19
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,23,1,24
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,7,16
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1406,16,1422
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,75,0,75
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,11,3,14
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,17,0,17
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,0,2
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,19,6,25
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,5,0,5
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,10,0,10
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,34,0,34
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,8,3,11
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,1,8
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,1,5
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,0,22
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,1,3
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,19,2,21
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,64,0,64
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,6,0,6
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,3,0,3
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,1,3
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1,0,1
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,1123,3,1126
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,2,1,3
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,32,0,32
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,9,0,9
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,22,1,23
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,4,0,4
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2012-01-01,7,0,7
