,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,repetidas,2012-01-01,25,5,30
ACHACACHI,consultas prenatales,repetidas,2012-01-01,205,6,211
ACHOCALLA,consultas prenatales,repetidas,2012-01-01,35,8,43
AIQUILE,consultas prenatales,repetidas,2012-01-01,67,0,67
ALALAY,consultas prenatales,repetidas,2012-01-01,7,3,10
ALCALA,consultas prenatales,repetidas,2012-01-01,22,1,23
ALTO BENI,consultas prenatales,repetidas,2012-01-01,56,11,67
ANCORAIMES,consultas prenatales,repetidas,2012-01-01,43,3,46
ANDAMARCA,consultas prenatales,repetidas,2012-01-01,9,1,10
ANTEQUERA,consultas prenatales,repetidas,2012-01-01,16,0,16
ANZALDO,consultas prenatales,repetidas,2012-01-01,22,2,24
APOLO,consultas prenatales,repetidas,2012-01-01,111,12,123
ARAMPAMPA,consultas prenatales,repetidas,2012-01-01,18,4,22
ARANI,consultas prenatales,repetidas,2012-01-01,70,1,71
ARBIETO,consultas prenatales,repetidas,2012-01-01,41,0,41
ARQUE,consultas prenatales,repetidas,2012-01-01,69,1,70
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2012-01-01,214,0,214
ATOCHA,consultas prenatales,repetidas,2012-01-01,68,5,73
AUCAPATA,consultas prenatales,repetidas,2012-01-01,11,1,12
AYATA,consultas prenatales,repetidas,2012-01-01,31,11,42
AYO AYO,consultas prenatales,repetidas,2012-01-01,33,0,33
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2012-01-01,140,4,144
AZURDUY,consultas prenatales,repetidas,2012-01-01,36,12,48
BATALLAS,consultas prenatales,repetidas,2012-01-01,56,0,56
BAURES,consultas prenatales,repetidas,2012-01-01,26,0,26
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2012-01-01,1,4,5
BELEN DE URMIRI,consultas prenatales,repetidas,2012-01-01,4,4,8
BELLA FLOR,consultas prenatales,repetidas,2012-01-01,9,0,9
BERMEJO,consultas prenatales,repetidas,2012-01-01,258,0,258
BETANZOS,consultas prenatales,repetidas,2012-01-01,146,18,164
BOLIVAR,consultas prenatales,repetidas,2012-01-01,24,5,29
BOLPEBRA,consultas prenatales,repetidas,2012-01-01,10,0,10
BOYUIBE,consultas prenatales,repetidas,2012-01-01,22,3,25
BUENA VISTA,consultas prenatales,repetidas,2012-01-01,30,2,32
CABEZAS,consultas prenatales,repetidas,2012-01-01,106,4,110
CAIROMA,consultas prenatales,repetidas,2012-01-01,33,10,43
"CAIZA ""D""",consultas prenatales,repetidas,2012-01-01,43,0,43
CAJUATA,consultas prenatales,repetidas,2012-01-01,40,9,49
CALACOTO,consultas prenatales,repetidas,2012-01-01,6,2,8
CALAMARCA,consultas prenatales,repetidas,2012-01-01,47,6,53
CAMARGO,consultas prenatales,repetidas,2012-01-01,146,1,147
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2012-01-01,17,2,19
CAMIRI,consultas prenatales,repetidas,2012-01-01,395,1,396
CAPINOTA,consultas prenatales,repetidas,2012-01-01,190,0,190
CAQUIAVIRI,consultas prenatales,repetidas,2012-01-01,19,1,20
CARACOLLO,consultas prenatales,repetidas,2012-01-01,88,3,91
CARANAVI,consultas prenatales,repetidas,2012-01-01,298,8,306
CARANGAS,consultas prenatales,repetidas,2012-01-01,0,2,2
CARAPARI,consultas prenatales,repetidas,2012-01-01,75,3,78
CARIPUYO,consultas prenatales,repetidas,2012-01-01,23,16,39
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2012-01-01,39,0,39
CATACORA,consultas prenatales,repetidas,2012-01-01,3,0,3
CHACARILLA,consultas prenatales,repetidas,2012-01-01,6,1,7
CHALLAPATA,consultas prenatales,repetidas,2012-01-01,213,19,232
CHAQUI,consultas prenatales,repetidas,2012-01-01,16,2,18
CHARAGUA,consultas prenatales,repetidas,2012-01-01,217,1,218
CHARAÑA,consultas prenatales,repetidas,2012-01-01,7,0,7
CHAYANTA,consultas prenatales,repetidas,2012-01-01,43,13,56
CHIMORE,consultas prenatales,repetidas,2012-01-01,113,4,117
CHIPAYA,consultas prenatales,repetidas,2012-01-01,11,0,11
CHOQUE COTA,consultas prenatales,repetidas,2012-01-01,5,1,6
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2012-01-01,116,0,116
CHUMA,consultas prenatales,repetidas,2012-01-01,28,3,31
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2012-01-01,41,3,44
CKOCHAS,consultas prenatales,repetidas,2012-01-01,65,28,93
CLIZA,consultas prenatales,repetidas,2012-01-01,239,0,239
COBIJA,consultas prenatales,repetidas,2012-01-01,591,1,592
COCAPATA,consultas prenatales,repetidas,2012-01-01,29,18,47
COCHABAMBA,consultas prenatales,repetidas,2012-01-01,6636,26,6662
COIPASA,consultas prenatales,repetidas,2012-01-01,6,0,6
COLCAPIRHUA,consultas prenatales,repetidas,2012-01-01,478,0,478
"COLCHA ""K""",consultas prenatales,repetidas,2012-01-01,45,1,46
COLLANA,consultas prenatales,repetidas,2012-01-01,12,5,17
COLOMI,consultas prenatales,repetidas,2012-01-01,92,0,92
COLPA BELGICA,consultas prenatales,repetidas,2012-01-01,39,0,39
COLQUECHACA,consultas prenatales,repetidas,2012-01-01,116,23,139
COLQUENCHA,consultas prenatales,repetidas,2012-01-01,69,0,69
COLQUIRI,consultas prenatales,repetidas,2012-01-01,37,27,64
COMANCHE,consultas prenatales,repetidas,2012-01-01,4,0,4
COMARAPA,consultas prenatales,repetidas,2012-01-01,176,0,176
COMBAYA,consultas prenatales,repetidas,2012-01-01,4,4,8
CONCEPCION,consultas prenatales,repetidas,2012-01-01,158,0,158
COPACABANA,consultas prenatales,repetidas,2012-01-01,62,6,68
CORIPATA,consultas prenatales,repetidas,2012-01-01,126,0,126
CORO CORO,consultas prenatales,repetidas,2012-01-01,28,7,35
COROICO,consultas prenatales,repetidas,2012-01-01,118,3,121
CORQUE,consultas prenatales,repetidas,2012-01-01,21,2,23
COTAGAITA,consultas prenatales,repetidas,2012-01-01,107,7,114
COTOCA,consultas prenatales,repetidas,2012-01-01,350,0,350
CUATRO CAÑADAS,consultas prenatales,repetidas,2012-01-01,167,2,169
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2012-01-01,5,0,5
CUEVO,consultas prenatales,repetidas,2012-01-01,33,0,33
CULPINA,consultas prenatales,repetidas,2012-01-01,56,4,60
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2012-01-01,25,2,27
CURVA,consultas prenatales,repetidas,2012-01-01,5,0,5
DESAGUADERO,consultas prenatales,repetidas,2012-01-01,31,0,31
EL ALTO,consultas prenatales,repetidas,2012-01-01,6169,17,6186
EL CHORO,consultas prenatales,repetidas,2012-01-01,9,8,17
EL PUENTE(STC),consultas prenatales,repetidas,2012-01-01,76,0,76
EL PUENTE(TJA),consultas prenatales,repetidas,2012-01-01,59,5,64
EL TORNO,consultas prenatales,repetidas,2012-01-01,367,1,368
EL VILLAR,consultas prenatales,repetidas,2012-01-01,14,3,17
ENTRE RIOS TRJ,consultas prenatales,repetidas,2012-01-01,136,7,143
ENTRE RIOS CBBA,consultas prenatales,repetidas,2012-01-01,199,1,200
ESCOMA,consultas prenatales,repetidas,2012-01-01,29,2,31
EUCALIPTUS,consultas prenatales,repetidas,2012-01-01,27,1,28
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2012-01-01,6,2,8
EXALTACION,consultas prenatales,repetidas,2012-01-01,6,0,6
FERNANDEZ ALONSO,consultas prenatales,repetidas,2012-01-01,74,0,74
FILADELFIA,consultas prenatales,repetidas,2012-01-01,23,0,23
GENERAL SAAVEDRA,consultas prenatales,repetidas,2012-01-01,86,0,86
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2012-01-01,39,2,41
GUANAY,consultas prenatales,repetidas,2012-01-01,107,2,109
GUAQUI,consultas prenatales,repetidas,2012-01-01,18,4,22
GUAYARAMERIN,consultas prenatales,repetidas,2012-01-01,407,4,411
GUTIERREZ,consultas prenatales,repetidas,2012-01-01,75,5,80
HUACARETA,consultas prenatales,repetidas,2012-01-01,30,2,32
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2012-01-01,4,8,12
HUACHACALLA,consultas prenatales,repetidas,2012-01-01,1,0,1
HUANUNI,consultas prenatales,repetidas,2012-01-01,221,0,221
HUARACAJE,consultas prenatales,repetidas,2012-01-01,25,0,25
HUARINA,consultas prenatales,repetidas,2012-01-01,20,0,20
HUAYLLAMARCA,consultas prenatales,repetidas,2012-01-01,4,0,4
HUMANATA,consultas prenatales,repetidas,2012-01-01,13,3,16
ICHOCA,consultas prenatales,repetidas,2012-01-01,6,1,7
ICLA,consultas prenatales,repetidas,2012-01-01,25,13,38
INCAHUASI,consultas prenatales,repetidas,2012-01-01,41,5,46
INGAVI (HUMAITA),consultas prenatales,repetidas,2012-01-01,9,5,14
INQUISIVI,consultas prenatales,repetidas,2012-01-01,21,12,33
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2012-01-01,42,3,45
IXIAMAS,consultas prenatales,repetidas,2012-01-01,45,0,45
JESUS DE MACHACA,consultas prenatales,repetidas,2012-01-01,62,6,68
LA ASUNTA,consultas prenatales,repetidas,2012-01-01,354,3,357
LA GUARDIA,consultas prenatales,repetidas,2012-01-01,573,1,574
LA PAZ,consultas prenatales,repetidas,2012-01-01,6944,4,6948
LAGUNILLAS,consultas prenatales,repetidas,2012-01-01,17,3,20
LAJA,consultas prenatales,repetidas,2012-01-01,48,1,49
LAS CARRERAS,consultas prenatales,repetidas,2012-01-01,18,7,25
