,group,variable,month,NRO DE PARTICIPANTES DE TELECAPACITACION MEDICOS,NRO DE PARTICIPANTES DE TELECAPACITACION MEDICOS,NRO DE PARTICIPANTES DE TELECAPACITACION ENFERMERA,NRO DE PARTICIPANTES DE TELECAPACITACION ENFERMERA,NRO DE PARTICIPANTES DE TELECAPACITACION AUXILIAR,NRO DE PARTICIPANTES DE TELECAPACITACION AUXILIAR,NRO DE PARTICIPANTES DE TELECAPACITACION ODONTO,NRO DE PARTICIPANTES DE TELECAPACITACION ODONTO,NRO DE PARTICIPANTES DE TELECAPACITACION OTRO_PERSONAL,NRO DE PARTICIPANTES DE TELECAPACITACION OTRO_PERSONAL,NRO DE PARTICIPANTES DE TELECAPACITACION ESCOLAR,NRO DE PARTICIPANTES DE TELECAPACITACION ESCOLAR,NRO DE PARTICIPANTES DE TELECAPACITACION JOVENES,NRO DE PARTICIPANTES DE TELECAPACITACION JOVENES,NRO DE PARTICIPANTES DE TELECAPACITACION ADULTOS,NRO DE PARTICIPANTES DE TELECAPACITACION ADULTOS,NRO DE PARTICIPANTES DE TELECAPACITACION DIRIGENTE,NRO DE PARTICIPANTES DE TELECAPACITACION DIRIGENTE,NRO DE PARTICIPANTES DE TELECAPACITACION PROMOTORES,NRO DE PARTICIPANTES DE TELECAPACITACION PROMOTORES,NRO DE PARTICIPANTES DE TELECAPACITACION OTROS,NRO DE PARTICIPANTES DE TELECAPACITACION OTROS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDAMARCA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
APOLO,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ATOCHA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CABEZAS,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHALLAPATA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),teleeducacion,nro de participantes de telecapacitacion,2024-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
CHUMA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLLANA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CORO CORO,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CURVA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EUCALIPTUS,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
GAIOC JATUN AYLLU YURA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GUANAY,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ICHOCA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,190,0,7,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,213
LAS CARRERAS,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MOCOMOCO,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOJINETE,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PORTACHUELO,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,28
PUCARANI,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PUERTO ACOSTA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO PEREZ,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUIME,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SACABA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,125,214,0,12,0,16,0,3,9,17,0,0,0,0,0,0,0,0,0,0,0,0,134,262,396
SAN MIGUEL DE VELASCO,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SAN PABLO DE LIPEZ,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAN PEDRO DE QUEMES,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTIAGO DE MACHACA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTUARIO DE QUILLACAS,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TAHUA,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
TITO YUPANQUI (PARQUIPUJIO),teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
YAMPARAEZ,teleeducacion,nro de participantes de telecapacitacion,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4
ALALAY,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANDAMARCA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARQUE,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ATOCHA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AYATA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
"CAIZA ""D""",teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),teleeducacion,nro de participantes de telecapacitacion,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHUMA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CURVA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ESCOMA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GAIOC JATUN AYLLU YURA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GUANAY,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
HUMANATA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
ICHOCA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,222,0,8,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,241
LORETO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ORURO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
POROMA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
PUERTO ACOSTA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO PEREZ,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO RICO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
QUIME,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RAVELO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
RIBERALTA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,66,131,0,2,0,20,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,72,163,235
SAN BORJA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
SAN MIGUEL DE VELASCO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
SANTA CRUZ DE LA SIERRA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,12,17,0,5,0,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,33,46
SANTIAGO DE MACHACA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SANTUARIO DE QUILLACAS,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAPAHAQUI,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TAHUA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOMINA,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TURCO,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YAMPARAEZ,teleeducacion,nro de participantes de telecapacitacion,2024-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ALALAY,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALCALA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ANDAMARCA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ARAMPAMPA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ARANI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,13,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,24,37
ARQUE,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
ATOCHA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,2,0,3,1,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
BETANZOS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
CABEZAS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
CAIROMA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"CAIZA ""D""",teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,13,0,2,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,19,22
CAMARGO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,62,72,2,25,12,26,0,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,83,133,216
CAMATAQUI (C. VILLA ABECIA),teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,3,0,0,0,0,2,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23
CARANAVI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CARMEN RIVERO TORREZ,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,3,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13
CHAQUI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
CHIMORE,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,2,5,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12
CHULUMANI (V. DE LA LIBERTAD),teleeducacion,nro de participantes de telecapacitacion,2024-03-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
CHUMA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"COLCHA ""K""",teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COLQUIRI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORO CORO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CUATRO CAÑADAS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CURVA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
EL VILLAR,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
ESCOMA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
GUAQUI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUARINA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
ICHOCA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
LA GUARDIA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LAGUNILLAS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LAS CARRERAS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
MACHARETI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
MINEROS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MOCOMOCO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MOJINETE,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
PORTACHUELO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
POTOSI,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,407,0,144,0,103,0,10,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,715
PUERTO PEREZ,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUIABAYA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QUIME,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,8
RAVELO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
SACABA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,127,209,0,34,1,38,2,4,9,17,0,0,0,0,0,0,0,0,0,0,0,0,139,302,441
SAMAIPATA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAN BENITO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
SAN IGNACIO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SAN MIGUEL DE VELASCO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN PABLO DE LIPEZ,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
SAN PEDRO DE QUEMES,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,8,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
SANTIAGO DE MACHACA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TAHUA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
TARATA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TARVITA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,9,0,4,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,19,24
TITO YUPANQUI (PARQUIPUJIO),teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOLATA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
TOMINA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,3,2,2,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
TORO TORO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
TOTORA(CBBA),teleeducacion,nro de participantes de telecapacitacion,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TUPIZA,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TURCO,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLA CHARCAS,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
WALDO BALLIVIAN,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WARNES,teleeducacion,nro de participantes de telecapacitacion,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
