,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,1,0,0,0,1,0
ICLA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,1,0,0,0,1,0
MAIRANA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,1,0,0,0,1,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,0,0,1,0,1,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,0,1,0,0,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,2,0,0,0,2,0
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2019-01-01,0,1,0,0,0,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
MAIRANA,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,0,0,1,0,1,0
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
SACABA,chagas,tratamientos rn a menores de 1 ano de edad,2019-02-01,1,0,0,0,1,0
