,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos de 15 anos y mas,2019-01-01,0,1,0,0,0,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2019-01-01,2,3,1,0,3,3
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2019-01-01,6,9,4,3,10,12
CORIPATA,chagas,tratamientos de 15 anos y mas,2019-01-01,0,1,1,0,1,1
CUATRO CAÑADAS,chagas,tratamientos de 15 anos y mas,2019-01-01,0,1,0,0,0,1
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2019-01-01,1,1,0,0,1,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2019-01-01,0,0,1,0,1,0
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2019-01-01,1,0,1,0,2,0
SUCRE,chagas,tratamientos de 15 anos y mas,2019-01-01,3,1,0,0,3,1
TARATA,chagas,tratamientos de 15 anos y mas,2019-01-01,1,2,0,0,1,2
TARIJA,chagas,tratamientos de 15 anos y mas,2019-01-01,3,6,0,0,3,6
TOLATA,chagas,tratamientos de 15 anos y mas,2019-01-01,0,0,1,0,1,0
TRIGAL,chagas,tratamientos de 15 anos y mas,2019-01-01,1,0,0,0,1,0
TUPIZA,chagas,tratamientos de 15 anos y mas,2019-01-01,6,14,11,17,17,31
VILLA MONTES,chagas,tratamientos de 15 anos y mas,2019-01-01,2,6,1,2,3,8
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2019-01-01,0,1,0,0,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2019-01-01,6,9,0,0,6,9
VINTO,chagas,tratamientos de 15 anos y mas,2019-01-01,3,4,0,0,3,4
YACUIBA,chagas,tratamientos de 15 anos y mas,2019-01-01,2,0,0,0,2,0
