,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALCALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,1,0,0,0,1
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,1,1,0,0,1,1
CARAPARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,1,0,0,0,1,0
CULPINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,0,2,2,2,2
INCAHUASI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,0,4,0,4,0
LAS CARRERAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,0,1,1,1,1
URIONDO (A. CONCEPCION),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,0,2,0,0,0,2
YANACACHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-01-01,1,1,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,0,0,0,1,0,1
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,2,3,0,0,2,3
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,0,0,6,3,6,3
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,2,0,0,0,2,0
CUEVO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2019-02-01,0,1,0,0,0,1
