,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,0,1,0,0,0,1
MAIRANA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,0,0,1,0,1,0
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,1,0,0,0,1,0
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,1,0,0,0,1,0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,1,0,0,0,1,0
YANACACHI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-01-01,0,1,0,0,0,1
BOYUIBE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-02-01,0,2,0,0,0,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,0,1,0,0,0,1
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,8,0,7,0,15,0
TARATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,0,0,0,1,0,1
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,0,0,1,0,1,0
URIONDO (A. CONCEPCION),chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-03-01,1,1,2,1,3,2
BOYUIBE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-04-01,0,0,0,2,0,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2019-04-01,1,0,0,0,1,0
