municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
ACACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,19,19
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,16,16
CAMARGO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
CAMIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
CARAPARI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
CARMEN RIVERO TORREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
CATACORA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
CHALLAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,60,60
"COLCHA ""K""",referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,10,10
COLOMI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,3,3
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,6,6
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,5,5
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
EL PUENTE(TJA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
EUCALIPTUS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
EUREKA (SANTOS MERCADO),referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,20,20
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
ICHOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
IXIAMAS,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,19,19
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,549,549
MACHACAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
MOJOCOYA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,2,2
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,4,4
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,37,37
MOROCHATA,referencias y retornos,pacientes retornados al establecimiento de origen,2010-01-01,1,1
