municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
ACHACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,27,27
ACHOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
AIQUILE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,35,35
ALALAY,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
ALCALA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
ALTO BENI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,9,9
ANCORAIMES,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
ANZALDO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
APOLO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
ARAMPAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
ARANI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
ARBIETO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,23,23
ARQUE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,11,11
ASCENCION DE GUARAYOS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
ATOCHA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,29,29
AYATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
AYO AYO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
AZURDUY,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
BATALLAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
BELLA FLOR,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
BERMEJO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,91,91
BETANZOS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,34,34
BOLIVAR,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,12,12
BOLPEBRA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
BOYUIBE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
CABEZAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,27,27
CAIROMA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
CALAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,21,21
CAMARGO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
CAMIRI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,29,29
CAPINOTA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,27,27
CARACOLLO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
CARANAVI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,35,35
CARAPARI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,34,34
CARIPUYO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
CARMEN RIVERO TORREZ,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,8,8
CATACORA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
CHALLAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,53,53
CHAQUI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,9,9
CHARAGUA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,16,16
CHAYANTA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
CHIMORE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,13,13
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
CHUMA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,7,7
CKOCHAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
CLIZA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,44,44
COBIJA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,52,52
COCAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,15,15
COCHABAMBA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,302,302
COLCAPIRHUA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,64,64
"COLCHA ""K""",referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,7,7
COLLANA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
COLOMI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,33,33
COLPA BELGICA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,54,54
COLQUECHACA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,16,16
COLQUENCHA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
COLQUIRI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
COMANCHE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
COMARAPA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,27,27
COMBAYA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
COPACABANA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,22,22
CORIPATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
CORO CORO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
COROICO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,45,45
CORQUE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
COTAGAITA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,58,58
COTOCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,97,97
CUATRO CAÑADAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,22,22
CUEVO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,11,11
CULPINA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
CURAHUARA DE CARANGAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,12,12
DESAGUADERO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
EL ALTO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2133,2133
EL CHORO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
EL PUENTE(STC),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,15,15
EL PUENTE(TJA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,13,13
EL TORNO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,57,57
EL VILLAR,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
ENTRE RIOS TRJ,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,33,33
ENTRE RIOS CBBA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,25,25
ESCOMA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,13,13
EUCALIPTUS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
EUREKA (SANTOS MERCADO),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
EXALTACION,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
FERNANDEZ ALONSO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,8,8
FILADELFIA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
GENERAL SAAVEDRA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,25,25
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
GUANAY,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
GUAQUI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
GUAYARAMERIN,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,110,110
GUTIERREZ,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
HUACARETA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
HUACHACALLA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
HUANUNI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,27,27
HUARINA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
ICHOCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
ICLA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
INCAHUASI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
INQUISIVI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
IRUPANA (VILLA DE LANZA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,7,7
IXIAMAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
JESUS DE MACHACA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,10,10
LA GUARDIA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,139,139
LA PAZ,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6659,6659
LAGUNILLAS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,12,12
LAJA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,16,16
LICOMA PAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
LLALLAGUA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,29,29
LORETO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
MACHACAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
MACHARETI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
MAIRANA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,14,14
MAPIRI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
MECAPACA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,11,11
MINEROS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,16,16
MIZQUE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,14,14
MOCOMOCO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
MOJOCOYA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
MONTEAGUDO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,41,41
MONTERO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,140,140
MOROCHATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
OCURI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
OKINAWA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,25,25
OMEREQUE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,12,12
ORURO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,418,418
PADCAYA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,18,18
PADILLA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,15,15
PAILON,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,22,22
PALCA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,6,6
PALOS BLANCOS,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,14,14
PAMPA GRANDE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
PAZÑA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
PELECHUCO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,2,2
POCOATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
POCONA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
POJO (CBBA),referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
PORCO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
POROMA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
PORONGO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,11,11
PORTACHUELO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,14,14
PORVENIR,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,8,8
POSTRER VALLE,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
POTOSI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,193,193
PRESTO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
PUCARA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
PUCARANI,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,20,20
PUERTO ACOSTA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
PUERTO CARABUCO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,7,7
PUERTO GONZALO MORENO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
PUERTO QUIJARRO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,4,4
PUERTO RICO,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,12,12
PUERTO SILES,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,5,5
PUERTO VILLARROEL,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,44,44
PUNA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,3,3
PUNATA,referencias y retornos,pacientes referidos a otros establecimientos,2010-01-01,86,86
