municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ACACIO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,2,2
ALTO BENI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,2,2
ARAMPAMPA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
CABEZAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
CARAPARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,3,3
COPACABANA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,25,25
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,55,55
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,4,4
MECAPACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
POROMA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,2,2
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,4,4
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,6,6
SALINAS DE GARCI MENDOZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
SAMAIPATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,4,4
TAPACARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
TARIJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,2,2
TIPUANI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
TUPIZA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,3,3
VILLAZON,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,5,5
VINTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,6,6
YACUIBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-01-01,5,5
ACACIO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
BUENA VISTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
CARAPARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,3,3
COLOMI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
COLQUENCHA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,37,37
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,14,14
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
FILADELFIA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,20,20
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
LAGUNILLAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
POTOSI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,9,9
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,7,7
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
SAMAIPATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,13,13
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,4,4
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,2,2
VILLA TUNARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,8,8
YUNCHARA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-02-01,1,1
ANDAMARCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
ANZALDO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,7,7
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
CARACOLLO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
CARAPARI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,18,18
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
EL CHORO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
ENTRE RIOS TRJ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,3,3
JESUS DE MACHACA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,10,10
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2010-03-01,1,1
