municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
COCHABAMBA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,3,3
"COLCHA ""K""",referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,45,45
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,3,3
ICLA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
JESUS DE MACHACA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,69,69
MONTEAGUDO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
PORONGO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
RURRENABAQUE,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,74,74
TARIJA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,43,43
VIACHA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-01-01,1,1
EL ALTO,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,6,6
LA PAZ,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,42,42
LAGUNILLAS,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,1,1
POTOSI,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,14,14
RIBERALTA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,3,3
RURRENABAQUE,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,81,81
SICA SICA (VILLA AROMA),referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,1,1
TARVITA,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,1,1
VILLA MONTES,referencias y retornos,pcd referidas a unidades de calificacion de discapacidad.,2010-02-01,1,1
