municipality,group,variable,month,Mujeres con 4ta consulta prenatal,TOTAL
ACACIO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,5,5
ACHACACHI,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,29,29
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,7,7
AIQUILE,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,9,9
ALALAY,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,2,2
ALCALA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,4,4
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,6,6
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,1,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,1,1
ANZALDO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,8,8
APOLO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,15,15
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,7,7
ARANI,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,33,33
ARBIETO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,3,3
ARQUE,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,11,11
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,37,37
ATOCHA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,13,13
AUCAPATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,2,2
AYATA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,4,4
AYO AYO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,20,20
AZURDUY,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,17,17
BATALLAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,14,14
BAURES,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,6,6
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,1,1
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,2,2
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,1,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,25,25
BETANZOS,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,23,23
BOLIVAR,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,2,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,4,4
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,18,18
CABEZAS,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,26,26
CAIROMA,consultas prenatales,mujeres con 4ta consulta  prenatal,2006-01-01,12,12
