municipality,group,variable,month,Nuevas a partir del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,72,72
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,47,47
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,18,18
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,2,2
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,16,16
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,13,13
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,12,12
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,22,22
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,15,15
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,16,16
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,26,26
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,34,34
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,11,11
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,7,7
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,26,26
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,43,43
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,34,34
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,8,8
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,30,30
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,74,74
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,3,3
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,10,10
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,25,25
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,6,6
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,48,48
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,4,4
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,9,9
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,29,29
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,21,21
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,17,17
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,36,36
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,74,74
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2006-01-01,1227,1227
