municipality,group,variable,month,Nuevas antes del 5to mes de embarazo,TOTAL
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,51,51
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,24,24
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,9,9
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,17,17
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,36,36
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,27,27
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,8,8
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,39,39
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,14,14
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,45,45
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,39,39
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,21,21
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,32,32
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,13,13
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,49,49
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,84,84
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,37,37
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,23,23
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,103,103
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,41,41
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,31,31
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,20,20
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,30,30
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
CHOQUE COTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,44,44
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,32,32
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,109,109
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1533,1533
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,55,55
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,9,9
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,33,33
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,12,12
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,41,41
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,51,51
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1,1
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,24,24
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,11,11
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,15,15
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,19,19
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,5,5
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,45,45
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,55,55
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,16,16
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,28,28
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,1366,1366
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,3,3
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,14,14
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,19,19
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,83,83
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,7,7
ENTRE RIOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,17,17
ENTRE RIOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,46,46
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,2,2
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,4,4
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,26,26
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,40,40
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,10,10
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,30,30
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,6,6
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2006-01-01,128,128
