,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,vih,no de personas con prueba rapida,2019-01-01,6,34,40
ALCALA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
ALTO BENI,vih,no de personas con prueba rapida,2019-01-01,1,0,1
ANCORAIMES,vih,no de personas con prueba rapida,2019-01-01,1,1,2
ANDAMARCA,vih,no de personas con prueba rapida,2019-01-01,1,2,3
ANZALDO,vih,no de personas con prueba rapida,2019-01-01,3,2,5
ARBIETO,vih,no de personas con prueba rapida,2019-01-01,2,2,4
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2019-01-01,18,80,98
AYATA,vih,no de personas con prueba rapida,2019-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2019-01-01,4,11,15
AZURDUY,vih,no de personas con prueba rapida,2019-01-01,0,2,2
BERMEJO,vih,no de personas con prueba rapida,2019-01-01,7,23,30
BOLIVAR,vih,no de personas con prueba rapida,2019-01-01,2,5,7
BOYUIBE,vih,no de personas con prueba rapida,2019-01-01,1,0,1
BUENA VISTA,vih,no de personas con prueba rapida,2019-01-01,1,4,5
CABEZAS,vih,no de personas con prueba rapida,2019-01-01,4,7,11
"CAIZA ""D""",vih,no de personas con prueba rapida,2019-01-01,1,0,1
CALAMARCA,vih,no de personas con prueba rapida,2019-01-01,2,7,9
CAMARGO,vih,no de personas con prueba rapida,2019-01-01,7,63,70
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2019-01-01,3,3,6
CAMIRI,vih,no de personas con prueba rapida,2019-01-01,19,30,49
CAPINOTA,vih,no de personas con prueba rapida,2019-01-01,5,6,11
CARANAVI,vih,no de personas con prueba rapida,2019-01-01,43,25,68
CHALLAPATA,vih,no de personas con prueba rapida,2019-01-01,12,139,151
CHARAGUA,vih,no de personas con prueba rapida,2019-01-01,2,5,7
CHIMORE,vih,no de personas con prueba rapida,2019-01-01,7,23,30
CHIPAYA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2019-01-01,8,6,14
CHUMA,vih,no de personas con prueba rapida,2019-01-01,2,7,9
CKOCHAS,vih,no de personas con prueba rapida,2019-01-01,0,2,2
CLIZA,vih,no de personas con prueba rapida,2019-01-01,1,3,4
COBIJA,vih,no de personas con prueba rapida,2019-01-01,253,352,605
COCHABAMBA,vih,no de personas con prueba rapida,2019-01-01,653,650,1303
COLCAPIRHUA,vih,no de personas con prueba rapida,2019-01-01,45,62,107
COLLANA,vih,no de personas con prueba rapida,2019-01-01,1,0,1
COLOMI,vih,no de personas con prueba rapida,2019-01-01,0,1,1
COLPA BELGICA,vih,no de personas con prueba rapida,2019-01-01,3,0,3
COLQUECHACA,vih,no de personas con prueba rapida,2019-01-01,0,9,9
COMARAPA,vih,no de personas con prueba rapida,2019-01-01,10,11,21
CONCEPCION,vih,no de personas con prueba rapida,2019-01-01,7,4,11
CORIPATA,vih,no de personas con prueba rapida,2019-01-01,0,1,1
COROICO,vih,no de personas con prueba rapida,2019-01-01,9,15,24
CORQUE,vih,no de personas con prueba rapida,2019-01-01,1,3,4
COTAGAITA,vih,no de personas con prueba rapida,2019-01-01,0,4,4
COTOCA,vih,no de personas con prueba rapida,2019-01-01,12,19,31
CRUZ DE MACHACAMARCA,vih,no de personas con prueba rapida,2019-01-01,1,3,4
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2019-01-01,13,43,56
CUEVO,vih,no de personas con prueba rapida,2019-01-01,10,0,10
CULPINA,vih,no de personas con prueba rapida,2019-01-01,6,45,51
DESAGUADERO,vih,no de personas con prueba rapida,2019-01-01,1,2,3
EL ALTO,vih,no de personas con prueba rapida,2019-01-01,927,1942,2869
EL PUENTE(STC),vih,no de personas con prueba rapida,2019-01-01,23,34,57
EL PUENTE(TJA),vih,no de personas con prueba rapida,2019-01-01,1,1,2
EL TORNO,vih,no de personas con prueba rapida,2019-01-01,79,46,125
EL VILLAR,vih,no de personas con prueba rapida,2019-01-01,2,3,5
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2019-01-01,1,12,13
