,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,3,3
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,62,62
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,8,8
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,10,10
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,3,3
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,2,2
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,2,2
ANZALDO,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,3,3
APOLO,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,1,1
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,151,151
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,14,14
AUCAPATA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,3,3
AYATA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,28,28
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,12,12
BELEN DE ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,2,2
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,6,6
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,144,144
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,38,38
BOLIVAR,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,5,5
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,1,1
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,12,12
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,42,42
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,71,71
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,25,25
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,23,23
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,30,30
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,5,5
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,180,180
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,69,69
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,27,27
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,143,143
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,21,21
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,16,16
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,131,131
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,5,5
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,90,90
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,3,3
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,117,117
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,5,5
CHOQUE COTA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,1,1
CHUA COCANI,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,7,7
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,47,47
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,2,2
CKOCHAS,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,17,17
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2019-01-01,0,97,97
