municipality,group,variable,month,Partos atendidos por partera en servicio,TOTAL
CONCEPCION,atencion de partos en servicios,partos atendidos por partera en servicio,2018-01-01,1.0,1.0
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por partera en servicio,2018-03-01,1.0,1.0
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,partos atendidos por partera en servicio,2018-03-01,21.0,21.0
COLQUECHACA,atencion de partos en servicios,partos atendidos por partera en servicio,2018-04-01,1.0,1.0
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2018-04-01,1.0,1.0
LURIBAY,atencion de partos en servicios,partos atendidos por partera en servicio,2018-07-01,1.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por partera en servicio,2018-08-01,4.0,4.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2018-09-01,32.0,32.0
TUPIZA,atencion de partos en servicios,partos atendidos por partera en servicio,2018-09-01,26.0,26.0
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por partera en servicio,2018-10-01,3.0,3.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2018-11-01,28.0,28.0
SAN IGNACIO,atencion de partos en servicios,partos atendidos por partera en servicio,2018-11-01,1.0,1.0
CAMIRI,atencion de partos en servicios,partos atendidos por partera en servicio,2018-12-01,25.0,25.0
COTAGAITA,atencion de partos en servicios,partos atendidos por partera en servicio,2018-12-01,1.0,1.0
LA ASUNTA,atencion de partos en servicios,partos atendidos por partera en servicio,2018-12-01,1.0,1.0
