municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos,2018-01-01,26,26
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos,2018-01-01,34,34
ALCALA,atencion de partos en servicios,nacidos vivos,2018-01-01,3,3
ALTO BENI,atencion de partos en servicios,nacidos vivos,2018-01-01,6,6
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
ANZALDO,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
APOLO,atencion de partos en servicios,nacidos vivos,2018-01-01,11,11
ARANI,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
ARBIETO,atencion de partos en servicios,nacidos vivos,2018-01-01,4,4
ARQUE,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2018-01-01,43,43
ATOCHA,atencion de partos en servicios,nacidos vivos,2018-01-01,10,10
AUCAPATA,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
AYO AYO,atencion de partos en servicios,nacidos vivos,2018-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2018-01-01,12,12
AZURDUY,atencion de partos en servicios,nacidos vivos,2018-01-01,4,4
BATALLAS,atencion de partos en servicios,nacidos vivos,2018-01-01,6,6
BAURES,atencion de partos en servicios,nacidos vivos,2018-01-01,11,11
BERMEJO,atencion de partos en servicios,nacidos vivos,2018-01-01,45,45
BETANZOS,atencion de partos en servicios,nacidos vivos,2018-01-01,21,21
BOLIVAR,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
BOYUIBE,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2018-01-01,7,7
CABEZAS,atencion de partos en servicios,nacidos vivos,2018-01-01,23,23
CAIROMA,atencion de partos en servicios,nacidos vivos,2018-01-01,8,8
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2018-01-01,8,8
CAJUATA,atencion de partos en servicios,nacidos vivos,2018-01-01,15,15
CALACOTO,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos vivos,2018-01-01,5,5
CAMARGO,atencion de partos en servicios,nacidos vivos,2018-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos,2018-01-01,89,89
CAPINOTA,atencion de partos en servicios,nacidos vivos,2018-01-01,20,20
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2018-01-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos vivos,2018-01-01,14,14
CARANAVI,atencion de partos en servicios,nacidos vivos,2018-01-01,65,65
CARAPARI,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2018-01-01,7,7
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2018-01-01,52,52
CHAQUI,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos,2018-01-01,49,49
CHAYANTA,atencion de partos en servicios,nacidos vivos,2018-01-01,6,6
CHIMORE,atencion de partos en servicios,nacidos vivos,2018-01-01,14,14
CHIPAYA,atencion de partos en servicios,nacidos vivos,2018-01-01,1,1
CHUA COCANI,atencion de partos en servicios,nacidos vivos,2018-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2018-01-01,11,11
CHUMA,atencion de partos en servicios,nacidos vivos,2018-01-01,3,3
