municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,26,26
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,34,34
ALCALA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,5,5
ANCORAIMES,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
ANTEQUERA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,11,11
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,4,4
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
AUCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,12,12
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,6,6
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,46,46
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,20,20
BOLIVAR,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,23,23
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,12,12
CALACOTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,5,5
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,12,12
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,38,38
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,21,21
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,3,3
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,15,15
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,64,64
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,53,53
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,39,39
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,6,6
CHIMORE,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,14,14
CHIPAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,11,11
CHUMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,4,4
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,3,3
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,143,143
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,2,2
COCHABAMBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2018-01-01,1821,1821
