municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,11,11
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,15,15
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,12,12
MACHARETI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,3,3
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,2,2
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,3,3
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,15,15
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
TUPIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
APOLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,9,9
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,16,16
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2018-02-01,8,8
