municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ALCALA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
ALTO BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
ARQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,43,43
ATOCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,9,9
AYO AYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,7,7
CABEZAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,7,7
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,52,52
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,8,8
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
CHUA COCANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
CLIZA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,30,30
COCAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,29,29
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
COLOMI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
COLQUENCHA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
COMARAPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,37,37
CORIPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
CORO CORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
COROICO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
CORQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
COTOCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,52,52
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
CUEVO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
CULPINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
EL VILLAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,14,14
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
ESCARA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
GUTIERREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
HUACARETA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
HUARACAJE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
HUARINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
HUATAJATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
INCAHUASI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
INGAVI (HUMAITA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
LA ASUNTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,9,9
LA GUARDIA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,74,74
LAJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
MACHARETI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
MAGDALENA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
MECAPACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
MINEROS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
MIZQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,5,5
MOCOMOCO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
MOJINETE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
MOJOCOYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
MONTEAGUDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
MORO MORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
MOROCHATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
OCURI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
OKINAWA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,8,8
OMEREQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
ORURO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,92,92
PADCAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
PAILON,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,26,26
PALCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
PALOS BLANCOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,9,9
PAMPA AULLAGAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
PATACAMAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
PAZÑA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
POCONA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
PORCO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
POROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,5,5
PORONGO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
POSTRER VALLE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
PUCARANI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
PUERTO CARABUCO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,18,18
PUERTO SUAREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,9,9
PUNA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,5,5
REYES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
ROBORE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,32,32
RURRENABAQUE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SABAYA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SACABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SACACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
SAIPINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SAN AGUSTIN,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SAN ANDRES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,10,10
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,8,8
SAN BORJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
SAN CARLOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,24,24
SAN IGNACIO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,8,8
SAN JAVIER(STC),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,27,27
SAN JOAQUIN,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,11,11
SAN JULIAN,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,43,43
SAN LORENZO(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,1,1
SAN LUCAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,15,15
SAN MATIAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
SAN PEDRO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,2,2
SAN RAMON BENI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2018-01-01,15,15
