municipality,group,variable,month,RN con malformación congénita,TOTAL
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,2,2
COBIJA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,2,2
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,3,3
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,10,10
MAIRANA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
POCONA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,213,213
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,10,10
TEOPONTE,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
TINGUIPAYA,atencion de partos en servicios,rn con malformacion congenita,2018-01-01,1,1
ANTEQUERA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
CHARAGUA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
COMARAPA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,6,6
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,8,8
MAPIRI,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
MONTEAGUDO,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
MONTERO,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
SAN LUCAS,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,9,9
TARIJA,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,3,3
TRINIDAD,atencion de partos en servicios,rn con malformacion congenita,2018-02-01,2,2
ARBIETO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
CHARAGUA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con malformacion congenita,2018-03-01,2,2
COBIJA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
COMARAPA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
CORIPATA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
COROICO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,5,5
EL TORNO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
ICLA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,10,10
MAPIRI,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
MOROCHATA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,4,4
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,3,3
SACACA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
SAN BORJA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
SAN JULIAN,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,16,16
TRINIDAD,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
YANACACHI,atencion de partos en servicios,rn con malformacion congenita,2018-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con malformacion congenita,2018-04-01,1,1
BETANZOS,atencion de partos en servicios,rn con malformacion congenita,2018-04-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2018-04-01,1,1
CHALLAPATA,atencion de partos en servicios,rn con malformacion congenita,2018-04-01,2,2
