municipality,group,variable,month,Nacidos vivos en mujeres de 15 a 49 años con 4 CPN,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,23,23
ACHOCALLA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
ALTO BENI,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,5,5
ANCORAIMES,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
ANTEQUERA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
APOLO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
ARANI,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
ARBIETO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,2,2
ARQUE,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
ATOCHA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,7,7
AUCAPATA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
AYO AYO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,4,4
AZURDUY,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,3,3
BATALLAS,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
BAURES,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,11,11
BELEN DE ANDAMARCA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,29,29
BETANZOS,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,15,15
BOLIVAR,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,7,7
CABEZAS,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,10,10
CAIROMA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,3,3
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,7,7
CAJUATA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,9,9
CALACOTO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
CALAMARCA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,4,4
CAMARGO,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,60,60
CAPINOTA,atencion de partos en servicios,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2018-01-01,20,20
