municipality,group,variable,month,Nacidos muertos,TOTAL
BERMEJO,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2018-01-01,2,2
CAPINOTA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2018-01-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2018-01-01,23,23
COMARAPA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2018-01-01,24,24
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2018-01-01,3,3
LA PAZ,atencion de partos en servicios,nacidos muertos,2018-01-01,15,15
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
MACHARETI,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2018-01-01,3,3
OCURI,atencion de partos en servicios,nacidos muertos,2018-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2018-01-01,10,10
PAILON,atencion de partos en servicios,nacidos muertos,2018-01-01,2,2
