,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COROICO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CUEVO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,4,4,0,0,0,14,0,0,0,0,0,0,22
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,8,11,12,25,26,4,3,9,0,0,0,0,0,0,98
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,0,3,1,0,9,3,0,0,0,0,0,0,16
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,2,6,0,0,2,1,1,1,1,0,0,0,0,0,14
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
