,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,0,2,1,2,3,0,0,0,0,0,0,0,8
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5
CUEVO,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,4,4,0,1,0,16,0,0,0,0,0,0,25
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,15,17,0,0,0,0,0,0,0,0,0,0,32
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,2,0,1,8,21,36,24,3,4,0,0,0,0,99
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,6,0,3,3,3,7,9,16,7,0,0,0,0,0,54
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2020-01-01,0,0,9,11,1,2,0,2,0,0,0,0,0,0,25
