,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2020-01-01,6,9,15,14,0,1,1,1,0,0,0,0,0,0,47
ACHACACHI,atencion odontologica,medidas preventivas,2020-01-01,15,11,25,49,14,23,24,30,6,1,0,0,0,0,198
ACHOCALLA,atencion odontologica,medidas preventivas,2020-01-01,32,52,59,87,6,16,1,36,4,6,0,0,0,0,299
AIQUILE,atencion odontologica,medidas preventivas,2020-01-01,35,64,174,226,39,110,41,148,15,5,0,0,0,0,857
ALALAY,atencion odontologica,medidas preventivas,2020-01-01,4,3,4,19,0,4,0,4,12,14,0,0,0,0,64
ALCALA,atencion odontologica,medidas preventivas,2020-01-01,28,22,2,3,1,3,1,4,0,0,0,0,0,0,64
ALTO BENI,atencion odontologica,medidas preventivas,2020-01-01,2,4,1,2,0,1,0,0,0,0,0,0,0,0,10
ANCORAIMES,atencion odontologica,medidas preventivas,2020-01-01,3,3,2,1,0,1,0,1,2,2,0,0,0,0,15
ANDAMARCA,atencion odontologica,medidas preventivas,2020-01-01,12,16,25,20,4,4,3,10,0,0,0,0,0,0,94
ANTEQUERA,atencion odontologica,medidas preventivas,2020-01-01,5,35,18,59,13,23,4,11,5,4,0,0,0,0,177
ANZALDO,atencion odontologica,medidas preventivas,2020-01-01,2,5,5,10,1,6,7,18,6,4,0,0,0,0,64
APOLO,atencion odontologica,medidas preventivas,2020-01-01,28,20,29,37,10,25,5,11,2,0,0,0,0,0,167
