,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2020-01-01,0,3,9,21,0,11,3,38,3,0,0,0,0,0,88
ACHACACHI,atencion odontologica,restauraciones,2020-01-01,39,25,38,118,36,122,97,148,20,13,0,0,0,0,656
ACHOCALLA,atencion odontologica,restauraciones,2020-01-01,15,21,49,72,12,41,8,52,3,4,0,0,0,0,277
AIQUILE,atencion odontologica,restauraciones,2020-01-01,30,51,63,81,14,49,29,122,12,3,0,0,0,0,454
ALALAY,atencion odontologica,restauraciones,2020-01-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
ALCALA,atencion odontologica,restauraciones,2020-01-01,2,0,10,14,20,44,14,20,0,0,0,0,0,0,124
ALTO BENI,atencion odontologica,restauraciones,2020-01-01,2,2,10,8,7,11,11,25,2,0,0,0,0,0,78
ANCORAIMES,atencion odontologica,restauraciones,2020-01-01,1,2,5,1,7,8,8,15,9,11,0,0,0,0,67
ANDAMARCA,atencion odontologica,restauraciones,2020-01-01,2,9,34,29,18,44,32,71,0,4,0,0,0,0,243
ANTEQUERA,atencion odontologica,restauraciones,2020-01-01,4,8,12,21,3,26,7,48,6,1,0,0,0,0,136
ANZALDO,atencion odontologica,restauraciones,2020-01-01,3,4,3,6,0,4,2,10,0,0,0,0,0,0,32
APOLO,atencion odontologica,restauraciones,2020-01-01,9,7,27,14,23,22,14,30,3,1,0,0,0,0,150
ARAMPAMPA,atencion odontologica,restauraciones,2020-01-01,2,2,3,11,3,8,2,13,0,0,0,0,0,0,44
ARANI,atencion odontologica,restauraciones,2020-01-01,4,20,36,40,55,40,26,68,1,6,0,0,0,0,296
