,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ACHACACHI,atencion odontologica,endodoncia,2020-01-01,3,3,15,15,15,16,16,30,0,3,0,0,0,0,116
ACHOCALLA,atencion odontologica,endodoncia,2020-01-01,1,4,10,22,3,15,1,14,0,0,0,0,0,0,70
AIQUILE,atencion odontologica,endodoncia,2020-01-01,0,8,22,8,2,3,5,6,3,0,0,0,0,0,57
ALCALA,atencion odontologica,endodoncia,2020-01-01,1,0,1,3,0,2,2,3,0,0,0,0,0,0,12
ALTO BENI,atencion odontologica,endodoncia,2020-01-01,1,0,0,4,0,0,0,0,0,0,0,0,0,0,5
ANCORAIMES,atencion odontologica,endodoncia,2020-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ANDAMARCA,atencion odontologica,endodoncia,2020-01-01,3,2,3,0,0,0,1,2,0,0,0,0,0,0,11
ANTEQUERA,atencion odontologica,endodoncia,2020-01-01,0,1,0,2,1,2,0,5,1,0,0,0,0,0,12
ARAMPAMPA,atencion odontologica,endodoncia,2020-01-01,0,0,1,3,1,0,1,1,1,0,0,0,0,0,8
ARANI,atencion odontologica,endodoncia,2020-01-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
ARBIETO,atencion odontologica,endodoncia,2020-01-01,3,3,1,3,6,3,0,6,2,2,0,0,0,0,29
ARQUE,atencion odontologica,endodoncia,2020-01-01,0,0,1,8,0,3,0,8,1,1,0,0,0,0,22
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2020-01-01,6,5,0,1,0,1,2,6,0,0,0,0,0,0,21
