,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2020-01-01,0,0,0,1,0,0,1,5,0,0,0,0,0,0,7
ACHACACHI,atencion odontologica,periodoncia,2020-01-01,0,0,1,2,2,4,3,10,0,0,0,0,0,0,22
ACHOCALLA,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,1,7,3,23,3,1,0,0,0,0,38
AIQUILE,atencion odontologica,periodoncia,2020-01-01,0,0,1,0,0,2,10,7,2,0,0,0,0,0,22
ALALAY,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,1,0,2,6,7,0,0,0,0,16
ALCALA,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,5
ALTO BENI,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ANCORAIMES,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
ANDAMARCA,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,1,2,4,4,0,2,0,0,0,0,13
ANTEQUERA,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,1,3,5,10,0,2,0,0,0,0,21
ANZALDO,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5
APOLO,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5
ARAMPAMPA,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,0,1,4,1,0,0,0,0,0,6
ARANI,atencion odontologica,periodoncia,2020-01-01,0,0,0,0,0,6,6,5,0,4,0,0,0,0,21
