,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,3,4,0,0,1,4,0,0,0,0,0,0,13
ACHACACHI,atencion odontologica,cirugia bucal menor,2020-01-01,5,4,20,19,6,13,17,32,22,12,0,0,0,0,150
ACHOCALLA,atencion odontologica,cirugia bucal menor,2020-01-01,1,3,33,28,4,13,9,29,7,8,0,0,0,0,135
AIQUILE,atencion odontologica,cirugia bucal menor,2020-01-01,0,2,11,14,0,1,0,4,2,3,0,0,0,0,37
ALALAY,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,0,3,0,1,6,3,0,1,0,0,0,0,14
ALCALA,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,4,1,0,1,5,2,1,0,0,0,0,18
ALTO BENI,atencion odontologica,cirugia bucal menor,2020-01-01,0,0,4,2,2,3,11,16,7,0,0,0,0,0,45
ANCORAIMES,atencion odontologica,cirugia bucal menor,2020-01-01,3,3,14,14,11,17,17,46,10,16,0,0,0,0,151
ANDAMARCA,atencion odontologica,cirugia bucal menor,2020-01-01,1,0,7,12,1,3,7,7,3,3,0,0,0,0,44
ANTEQUERA,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,7,4,4,2,3,5,3,1,0,0,0,0,30
ANZALDO,atencion odontologica,cirugia bucal menor,2020-01-01,0,1,4,3,1,1,1,10,4,3,0,0,0,0,28
APOLO,atencion odontologica,cirugia bucal menor,2020-01-01,2,1,15,11,7,6,2,10,3,4,0,0,0,0,61
