,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2020-01-01,0,1,0,1,0,0,0,11,1,0,0,0,0,0,14
ACHACACHI,atencion odontologica,consulta repetida,2020-01-01,8,0,13,24,5,50,16,57,10,5,0,1,0,0,189
ACHOCALLA,atencion odontologica,consulta repetida,2020-01-01,0,7,6,12,0,5,1,9,0,4,0,0,0,0,44
AIQUILE,atencion odontologica,consulta repetida,2020-01-01,0,20,27,13,3,3,12,28,7,6,0,0,0,1,120
ALALAY,atencion odontologica,consulta repetida,2020-01-01,0,0,4,14,0,0,3,0,6,0,0,0,0,0,27
ALCALA,atencion odontologica,consulta repetida,2020-01-01,1,2,8,14,2,7,14,16,0,0,0,1,0,0,65
ANCORAIMES,atencion odontologica,consulta repetida,2020-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ANDAMARCA,atencion odontologica,consulta repetida,2020-01-01,2,3,2,0,0,1,8,6,0,1,0,0,0,0,23
ANTEQUERA,atencion odontologica,consulta repetida,2020-01-01,1,8,1,4,6,10,8,28,3,0,0,3,0,0,72
ARAMPAMPA,atencion odontologica,consulta repetida,2020-01-01,0,0,1,3,2,0,2,2,5,0,0,0,0,1,16
ARANI,atencion odontologica,consulta repetida,2020-01-01,0,0,13,5,7,21,5,12,0,0,0,0,0,0,63
ARBIETO,atencion odontologica,consulta repetida,2020-01-01,2,5,0,5,0,6,2,11,1,6,0,0,0,3,41
ARQUE,atencion odontologica,consulta repetida,2020-01-01,7,4,5,14,12,4,29,30,0,8,0,0,0,1,114
