,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2020-01-01,9,13,31,44,1,11,8,61,7,4,0,0,0,6,195
ACHACACHI,atencion odontologica,consulta nueva,2020-01-01,60,36,79,191,52,156,131,204,34,25,0,13,0,0,981
ACHOCALLA,atencion odontologica,consulta nueva,2020-01-01,66,92,174,240,34,111,26,182,16,22,0,48,0,7,1018
AIQUILE,atencion odontologica,consulta nueva,2020-01-01,49,74,129,275,66,178,40,247,25,18,0,32,0,16,1149
ALALAY,atencion odontologica,consulta nueva,2020-01-01,4,3,5,12,0,9,10,14,18,22,0,0,0,0,97
ALCALA,atencion odontologica,consulta nueva,2020-01-01,55,44,15,25,21,49,21,34,2,1,0,12,0,2,281
ALTO BENI,atencion odontologica,consulta nueva,2020-01-01,4,6,15,16,9,15,22,44,9,0,0,4,0,1,145
ANCORAIMES,atencion odontologica,consulta nueva,2020-01-01,7,7,22,16,18,26,24,66,21,29,0,2,0,2,240
ANDAMARCA,atencion odontologica,consulta nueva,2020-01-01,17,30,70,63,25,56,50,98,4,10,0,13,0,5,441
ANTEQUERA,atencion odontologica,consulta nueva,2020-01-01,15,48,45,97,21,62,31,91,15,11,0,7,0,0,443
ANZALDO,atencion odontologica,consulta nueva,2020-01-01,5,10,13,21,2,13,11,44,13,8,0,0,0,0,140
APOLO,atencion odontologica,consulta nueva,2020-01-01,49,43,104,93,56,77,32,76,10,8,0,7,0,2,557
ARAMPAMPA,atencion odontologica,consulta nueva,2020-01-01,10,8,27,24,7,17,12,40,9,5,0,9,0,5,173
