,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,exodoncia,2020-01-01,0,0,3,3,0,0,1,4,0,0,0,0,0,0,11
ACHACACHI,atencion odontologica,exodoncia,2020-01-01,4,2,19,18,5,12,11,28,19,10,0,0,0,0,128
ACHOCALLA,atencion odontologica,exodoncia,2020-01-01,1,3,33,28,4,13,9,29,7,8,0,0,0,0,135
AIQUILE,atencion odontologica,exodoncia,2020-01-01,0,1,9,14,0,1,0,3,1,2,0,0,0,0,31
ALALAY,atencion odontologica,exodoncia,2020-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,exodoncia,2020-01-01,0,0,2,2,1,0,1,0,0,0,0,0,0,0,6
ALTO BENI,atencion odontologica,exodoncia,2020-01-01,0,0,4,1,1,3,11,15,7,0,0,0,0,0,42
ANCORAIMES,atencion odontologica,exodoncia,2020-01-01,2,1,12,14,11,16,15,43,9,15,0,0,0,0,138
ANDAMARCA,atencion odontologica,exodoncia,2020-01-01,0,0,6,12,1,3,5,3,2,2,0,0,0,0,34
ANTEQUERA,atencion odontologica,exodoncia,2020-01-01,0,0,4,3,1,2,2,2,2,1,0,0,0,0,17
ANZALDO,atencion odontologica,exodoncia,2020-01-01,0,0,3,1,1,1,1,3,2,3,0,0,0,0,15
APOLO,atencion odontologica,exodoncia,2020-01-01,0,0,7,9,4,2,1,7,2,4,0,0,0,0,36
ARAMPAMPA,atencion odontologica,exodoncia,2020-01-01,0,0,0,1,0,1,3,3,3,2,0,0,0,0,13
ARANI,atencion odontologica,exodoncia,2020-01-01,0,0,16,11,1,4,0,12,1,3,0,0,0,0,48
ARBIETO,atencion odontologica,exodoncia,2020-01-01,0,1,27,23,4,5,3,26,2,4,0,0,0,0,95
