,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,aplicacion de fluor,2020-01-01,0,0,8,9,0,0,0,1,0,0,0,0,0,0,18
ACHACACHI,atencion odontologica,aplicacion de fluor,2020-01-01,3,2,2,3,0,1,0,2,0,0,0,0,0,0,13
ACHOCALLA,atencion odontologica,aplicacion de fluor,2020-01-01,2,7,2,7,0,0,0,1,0,0,0,0,0,0,19
AIQUILE,atencion odontologica,aplicacion de fluor,2020-01-01,3,5,4,6,0,3,2,4,0,0,0,0,0,0,27
ALALAY,atencion odontologica,aplicacion de fluor,2020-01-01,2,0,2,14,0,2,0,2,6,7,0,0,0,0,35
ALCALA,atencion odontologica,aplicacion de fluor,2020-01-01,2,1,1,2,1,0,1,1,0,0,0,0,0,0,9
ALTO BENI,atencion odontologica,aplicacion de fluor,2020-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ANCORAIMES,atencion odontologica,aplicacion de fluor,2020-01-01,3,3,1,1,0,0,0,0,0,0,0,0,0,0,8
ANDAMARCA,atencion odontologica,aplicacion de fluor,2020-01-01,4,5,1,1,1,0,0,5,0,0,0,0,0,0,17
ANTEQUERA,atencion odontologica,aplicacion de fluor,2020-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
APOLO,atencion odontologica,aplicacion de fluor,2020-01-01,4,6,0,1,0,0,0,0,0,0,0,0,0,0,11
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2020-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
