,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2020-01-01,2,3,10,11,1,1,4,20,7,2,0,0,0,3,64
ACHACACHI,atencion odontologica,primera consulta,2020-01-01,21,14,28,73,33,49,55,79,21,12,0,5,0,1,391
ACHOCALLA,atencion odontologica,primera consulta,2020-01-01,44,37,78,97,26,45,19,102,11,14,0,33,0,5,511
AIQUILE,atencion odontologica,primera consulta,2020-01-01,10,16,22,38,10,28,6,45,9,9,0,7,0,2,202
ALALAY,atencion odontologica,primera consulta,2020-01-01,2,1,3,6,0,4,2,7,6,8,0,0,0,0,39
ALCALA,atencion odontologica,primera consulta,2020-01-01,28,22,10,18,5,19,10,29,3,2,0,6,0,0,152
ALTO BENI,atencion odontologica,primera consulta,2020-01-01,3,4,12,11,6,11,18,33,6,0,0,4,0,1,109
ANCORAIMES,atencion odontologica,primera consulta,2020-01-01,4,7,16,14,15,21,19,55,12,17,0,2,0,2,184
ANDAMARCA,atencion odontologica,primera consulta,2020-01-01,6,12,20,19,7,11,20,35,3,8,0,2,0,3,146
ANTEQUERA,atencion odontologica,primera consulta,2020-01-01,5,11,11,13,4,9,12,18,9,5,0,0,0,0,97
ANZALDO,atencion odontologica,primera consulta,2020-01-01,2,5,5,10,1,6,6,17,6,4,0,0,0,0,62
APOLO,atencion odontologica,primera consulta,2020-01-01,25,23,46,45,21,30,17,36,7,3,0,5,0,1,259
ARAMPAMPA,atencion odontologica,primera consulta,2020-01-01,4,2,7,9,3,5,6,18,4,2,0,4,0,2,66
