,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,4,2,0,0,3,6,0,0,0,0,0,0,15
COLCAPIRHUA,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,6,13,14,10,17,13,8,11,0,0,0,0,0,0,92
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,4,6,3,0,1,12,18,6,0,0,0,0,0,50
LAGUNILLAS,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MONTERO,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,1,0,1,4,1,0,4,24,0,0,0,0,0,0,35
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2020-01-01,0,0,4,3,3,4,15,21,2,5,0,0,0,0,57
