,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,2,0,1,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,1,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,1,2
CHUMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,6,6,0,0,12
COLLANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,3,1,1,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,4,3,5,5,17
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,0,0,0,1
ESCOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,4,5,0,0,9
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,4,0,2,6
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,1,1
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,2,2,0,0,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,0,0,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,2,1,3
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,2,2
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,2,0,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,2,1,2,6
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,0,0,0,3,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2023-01-01,1,0,0,0,1
