,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,1,0,1,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,1,2
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,2,1,0,0,3
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,3,0,0,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,2,1,0,0,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,1,0,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,1,0,1,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,2,1,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,3,2,6
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,2,0,0,3
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,2,0,0,0,2
CHUMA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,1,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,49,34,1,1,85
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,2,0,0,3
COLLANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,2,1,0,3
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
COMANCHE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,0,0,2,2
CORO CORO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,2,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,9,8,4,2,23
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,1,0,2,4,7
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,25,33,10,12,80
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
