,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,1,2
ARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,2,1,0,0,3
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,3,0,0,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,2,1,0,0,3
AYO AYO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,0,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,2,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,2,1,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,3,2,6
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,2,0,0,3
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,1,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,39,27,1,2,69
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,2,0,0,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,0,1,0,1
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
COMANCHE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,2,3
CORO CORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,2,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,10,8,4,2,24
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,1,0,2,4,7
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,19,24,5,10,58
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2023-01-01,2,0,0,0,2
