,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,3,1,0,0,4
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,3,3,6
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,4,5,1,0,10
COLLANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,3,2,0,0,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,7,12,8,6,33
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,2,0,0,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,1,2,0,4
ESCOMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,0,1,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,2,0,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,2,1,0,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,4,11,1,0,16
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,2,2,5
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,2,4,1,0,7
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,0,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,1,0,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2023-01-01,4,1,1,1,7
