,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,2,1,1,6
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,3,3,0,8
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,1,0,0,3
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,1,0,1,1,3
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,3,1,0,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,1,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,1,0,1,1,3
AZURDUY,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,1,1,2,0,4
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,4,0,0,6
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,1,1,0,2
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,6,3,3,2,14
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,3,3,2,10
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,1,1,0,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,2,2,0,6
CALACOTO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,1,1,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,4,3,0,0,7
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,3,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,2,0,0,4
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,1,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,5,1,2,8
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,0,5,0,5
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,3,0,0,0,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,1,1,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,7,10,5,8,30
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,0,0,0,2
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2023-01-01,2,0,3,2,7
