,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-01-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-01-01,0,0,0,1,0,1
SANTA ANA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-01-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-02-01,2,1,0,0,2,1
GUANAY,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-02-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,0,0,3,1,3,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,0,0,1,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,0,1,0,0,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,25,9,0,0,25,9
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-03-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-04-01,1,0,0,0,1,0
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-04-01,0,1,0,0,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-04-01,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-04-01,2,0,0,0,2,0
LAS CARRERAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-05-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-05-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-06-01,1,0,0,0,1,0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-06-01,0,0,0,0,0,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-06-01,0,1,0,0,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-07-01,0,0,0,2,0,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-07-01,1,0,0,0,1,0
SANTIVAÑES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-07-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-08-01,1,0,0,0,1,0
MACHARETI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-08-01,1,0,0,0,1,0
SANTIVAÑES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-08-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-09-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-09-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-09-01,1,0,0,0,1,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-09-01,0,5,0,0,0,5
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-10-01,3,0,0,0,3,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-10-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-10-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-10-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-10-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,0,0,1,1,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,0,0,1,0,1,0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,12,0,0,0,12,0
OMEREQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,0,2,0,0,0,2
YACUIBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-11-01,6,0,0,0,6,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2019-12-01,0,0,1,0,1,0
