,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,0,0,2,1,2,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,1,2,3,3,4
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,0,0,0,3,0,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,2,0,0,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,0,0,3,0,3,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,1,1,0,2,1
TACOPAYA,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,0,0,0,1,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,1,0,0,1,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2019-01-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,1,0,0,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,2,3,0,0,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2019-02-01,0,0,1,0,1,0
