,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,2,0,3,0
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,0,2,1,2,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,2,0,1,0,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,4,9,4,9,8,18
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,12,9,19,12,31,21
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,1,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,4,1,4,1,8,2
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,6,1,8,0,14,1
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,0,1,1,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,4,2,5,0,9,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,1,0,1,0,2,0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,4,1,2,0,6,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2019-01-01,0,1,8,5,8,6
