,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,9,9
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,70,70
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
APOLO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,16,16
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,95,95
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,13,13
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,21,21
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,20,20
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,19,19
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,49,49
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,21,21
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,28,28
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,167,167
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,70,70
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,67,67
CARAPARI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,38,38
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,129,129
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,2,2
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,73,73
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,4,4
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,71,71
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,5,5
CHOQUE COTA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,62,62
CHUQUIHUTA AYLLU JUCUMANI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,17,17
CKOCHAS,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,6,6
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,76,76
COBIJA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,191,191
COCAPATA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
COCHABAMBA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,1042,1042
COLCAPIRHUA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,147,147
COLPA BELGICA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,8,8
COLQUECHACA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
COLQUIRI,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,10,10
COMARAPA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,48,48
CONCEPCION,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,41,41
COPACABANA,vih,no de mujeres embarazadas con prueba rapida,2016-01-01,0,7,7
