,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih,no de personas con prueba rapida,2016-01-01,1,8,9
AIQUILE,vih,no de personas con prueba rapida,2016-01-01,9,24,33
ALCALA,vih,no de personas con prueba rapida,2016-01-01,2,2,4
ANDAMARCA,vih,no de personas con prueba rapida,2016-01-01,0,10,10
APOLO,vih,no de personas con prueba rapida,2016-01-01,12,19,31
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2016-01-01,40,111,151
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2016-01-01,8,29,37
AZURDUY,vih,no de personas con prueba rapida,2016-01-01,2,33,35
BETANZOS,vih,no de personas con prueba rapida,2016-01-01,0,3,3
CABEZAS,vih,no de personas con prueba rapida,2016-01-01,5,1,6
CALAMARCA,vih,no de personas con prueba rapida,2016-01-01,9,10,19
CAMARGO,vih,no de personas con prueba rapida,2016-01-01,8,40,48
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2016-01-01,0,2,2
CAMIRI,vih,no de personas con prueba rapida,2016-01-01,18,5,23
CAPINOTA,vih,no de personas con prueba rapida,2016-01-01,6,4,10
CARANAVI,vih,no de personas con prueba rapida,2016-01-01,27,16,43
CARAPARI,vih,no de personas con prueba rapida,2016-01-01,0,3,3
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2016-01-01,16,4,20
CHALLAPATA,vih,no de personas con prueba rapida,2016-01-01,1,124,125
CHARAGUA,vih,no de personas con prueba rapida,2016-01-01,0,6,6
CHAYANTA,vih,no de personas con prueba rapida,2016-01-01,1,0,1
CHIMORE,vih,no de personas con prueba rapida,2016-01-01,4,19,23
CHIPAYA,vih,no de personas con prueba rapida,2016-01-01,0,1,1
CHOQUE COTA,vih,no de personas con prueba rapida,2016-01-01,7,9,16
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2016-01-01,5,10,15
CHUMA,vih,no de personas con prueba rapida,2016-01-01,3,5,8
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2016-01-01,1,17,18
CKOCHAS,vih,no de personas con prueba rapida,2016-01-01,38,62,100
CLIZA,vih,no de personas con prueba rapida,2016-01-01,3,2,5
COBIJA,vih,no de personas con prueba rapida,2016-01-01,149,166,315
COCHABAMBA,vih,no de personas con prueba rapida,2016-01-01,86,126,212
COLCAPIRHUA,vih,no de personas con prueba rapida,2016-01-01,10,9,19
COLPA BELGICA,vih,no de personas con prueba rapida,2016-01-01,1,0,1
COLQUIRI,vih,no de personas con prueba rapida,2016-01-01,3,0,3
COMARAPA,vih,no de personas con prueba rapida,2016-01-01,5,4,9
CONCEPCION,vih,no de personas con prueba rapida,2016-01-01,1,0,1
COROICO,vih,no de personas con prueba rapida,2016-01-01,4,1,5
CORQUE,vih,no de personas con prueba rapida,2016-01-01,2,1,3
COTOCA,vih,no de personas con prueba rapida,2016-01-01,9,219,228
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2016-01-01,10,14,24
CULPINA,vih,no de personas con prueba rapida,2016-01-01,2,9,11
CURAHUARA DE CARANGAS,vih,no de personas con prueba rapida,2016-01-01,1,0,1
DESAGUADERO,vih,no de personas con prueba rapida,2016-01-01,0,9,9
EL ALTO,vih,no de personas con prueba rapida,2016-01-01,109,834,943
EL PUENTE(STC),vih,no de personas con prueba rapida,2016-01-01,19,23,42
EL TORNO,vih,no de personas con prueba rapida,2016-01-01,50,114,164
EL VILLAR,vih,no de personas con prueba rapida,2016-01-01,0,2,2
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2016-01-01,6,7,13
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2016-01-01,4,19,23
ESCOMA,vih,no de personas con prueba rapida,2016-01-01,0,1,1
EUCALIPTUS,vih,no de personas con prueba rapida,2016-01-01,0,1,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2016-01-01,7,28,35
FILADELFIA,vih,no de personas con prueba rapida,2016-01-01,3,8,11
GUANAY,vih,no de personas con prueba rapida,2016-01-01,5,5,10
GUAQUI,vih,no de personas con prueba rapida,2016-01-01,3,4,7
