municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,2,2
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,7,7
CAMARGO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,4,4
CARACOLLO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,2,2
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,4,4
COLCAPIRHUA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,2,2
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,17,17
CUATRO CAÑADAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,2,2
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,91,91
LA PAZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,4,4
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,30,30
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,5,5
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,7,7
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,2,2
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,3,3
TOTORA(ORR),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,10,10
YAMPARAEZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-01-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
AZURDUY,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,2,2
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,3,3
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,6,6
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,14,14
CUATRO CAÑADAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,2,2
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,6,6
EL CHORO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
EL PUENTE(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,12,12
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
PAILON,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,3,3
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
POCOATA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,8,8
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,10,10
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,3,3
SAN IGNACIO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,3,3
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,5,5
SAN JULIAN,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,33,33
SAN LORENZO(TJA),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,6,6
SUCRE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,2,2
TARVITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
TOTORA(ORR),referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
VILLA MONTES,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,2,2
YAMPARAEZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
ZUDAÑEZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-02-01,1,1
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,3,3
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,5,5
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
CKOCHAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,3,3
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
CONCEPCION,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,6,6
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,21,21
CUATRO CAÑADAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
EL ALTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
ICLA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,3,3
LAGUNILLAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
MACHARETI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
MIZQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
OKINAWA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,42,42
PADCAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
RAVELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
RIBERALTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,5,5
SACABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,9,9
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,2,2
SAN LUCAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,4,4
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,6,6
SANTUARIO DE QUILLACAS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
TARABUCO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
TARIJA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,2,2
TINGUIPAYA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,1,1
VILLA SERRANO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,2,2
VINTO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-03-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
BERMEJO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,7,7
BETANZOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
"CAIZA ""D""",referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,2,2
CAPINOTA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
CHAQUI,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
COCHABAMBA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
CONCEPCION,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
COTAGAITA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,4,4
COTOCA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,21,21
CUEVO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,4,4
HUACARETA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,2,2
PALOS BLANCOS,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
PORTACHUELO,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,1,1
PUNA,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,6,6
RURRENABAQUE,referencias y retornos,pacientes derivados de la comunidad o medicina tradicional,2011-04-01,2,2
