municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,3,3
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
BOYUIBE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,7,7
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
CAMARGO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
CHALLAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CHAYANTA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CHIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,59,59
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,7,7
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,27,27
COLQUECHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,2,2
COLQUIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,4,4
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
CORQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,15,15
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,6,6
CULPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2011-01-01,1,1
