municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
ACHACACHI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,38,38
ACHOCALLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
AIQUILE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,36,36
ALCALA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
ANCORAIMES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
ANZALDO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
APOLO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
ARAMPAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
ARANI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
ARBIETO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
ARQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
ASCENCION DE GUARAYOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
ATOCHA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,20,20
AYATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
AZURDUY,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
BATALLAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,19,19
BAURES,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
BELEN DE ANDAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
BERMEJO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,100,100
BETANZOS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,29,29
BOLIVAR,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
BOLPEBRA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
BOYUIBE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
BUENA VISTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
CABEZAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
CAIROMA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
"CAIZA ""D""",referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
CAJUATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
CALAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,21,21
CAMARGO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
CAMIRI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,42,42
CAPINOTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
CARACOLLO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
CARANAVI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,32,32
CARAPARI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,24,24
CARIPUYO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
CARMEN RIVERO TORREZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
CATACORA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
CHALLAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,46,46
CHAQUI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
CHARAGUA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,22,22
CHAYANTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
CHIMORE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
CHIPAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
CHOQUE COTA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
CHUMA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
CKOCHAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
CLIZA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,38,38
COBIJA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,129,129
COCAPATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
COCHABAMBA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,334,334
COLCAPIRHUA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,35,35
"COLCHA ""K""",referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
COLLANA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
COLOMI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,27,27
COLPA BELGICA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,60,60
COLQUECHACA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
COLQUIRI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
COMANCHE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
COMARAPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
COMBAYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
CONCEPCION,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
COPACABANA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,8,8
CORO CORO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
COROICO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
CORQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
COTAGAITA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,58,58
COTOCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,91,91
CUATRO CAÑADAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,31,31
CUCHUMUELA (V. G. VILLARROEL),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
CUEVO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,20,20
CULPINA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
CURAHUARA DE CARANGAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
DESAGUADERO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,11,11
EL ALTO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2898,2898
EL CHORO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
EL PUENTE(STC),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
EL PUENTE(TJA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
EL TORNO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,41,41
EL VILLAR,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
ENTRE RIOS TRJ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,24,24
ENTRE RIOS CBBA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,29,29
ESCARA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
ESCOMA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
EUCALIPTUS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
EUREKA (SANTOS MERCADO),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
EXALTACION,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
FERNANDEZ ALONSO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,25,25
FILADELFIA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
GENERAL SAAVEDRA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
GUANAY,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
GUAQUI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
GUAYARAMERIN,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,96,96
GUTIERREZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,13,13
HUACARETA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,13,13
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
HUACHACALLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
HUANUNI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,34,34
HUAYLLAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
HUMANATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
ICHOCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
ICLA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,16,16
INCAHUASI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
IRUPANA (VILLA DE LANZA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
IXIAMAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
JESUS DE MACHACA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,9,9
LA GUARDIA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,122,122
LA PAZ,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6310,6310
LAGUNILLAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,10,10
LAJA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
LAS CARRERAS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,3,3
LICOMA PAMPA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,7,7
LLALLAGUA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
LLICA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
LORETO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
LURIBAY,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,6,6
MACHACAMARCA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,30,30
MACHARETI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,12,12
MAGDALENA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,4,4
MAIRANA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,23,23
MAPIRI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,1,1
MECAPACA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,18,18
MINEROS,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
MIZQUE,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,14,14
MOCOMOCO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
MOJOCOYA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,5,5
MONTEAGUDO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,40,40
MONTERO,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,157,157
MOROCHATA,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,2,2
OCURI,referencias y retornos,pacientes referidos a otros establecimientos,2011-01-01,17,17
