,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,3,0,1,6
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,17,15,3,3,38
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,13,18,1,0,32
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,20,12,6,2,40
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,1,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,11,1,0,20
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,8,5,1,2,16
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,2,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,0,4,6
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,5,10,3,4,22
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,1,2,4,8
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,15,0,0,30
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,19,14,2,1,36
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,6,2,5,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,40,43,5,6,94
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,3,2,3,15
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,0,1,1,1,3
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,4,1,1,7
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,2,7,1,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,10,11,3,4,28
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,4,3,3,14
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,7,10,3,2,22
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,4,11,0,0,15
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,1,0,1,2,4
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,38,25,2,3,68
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2018-01-01,15,14,5,5,39
