,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,2,5,1,1,9
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,18,8,9,48
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,19,0,0,29
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,13,11,6,6,36
ALALAY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,0,0,2,1,3
ALCALA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,2,1,1,8
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,8,8,1,1,18
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,9,2,1,16
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,3,0,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,4,0,7
APOLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,6,8,6,2,22
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,1,4,4,10
ARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,10,5,0,0,15
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,11,20,5,2,38
ARQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,5,2,3,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,47,30,3,0,80
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,8,1,0,16
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,1,0,1,5
AYATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,4,1,3,11
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,7,2,0,0,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,15,13,8,4,40
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,3,0,6,2,11
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,10,1,1,21
BAURES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,4,2,0,0,6
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,1,2,1,4,8
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,30,38,8,3,79
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2018-01-01,9,11,7,7,34
