,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,2,3,0,1,6
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,17,16,3,3,39
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,15,18,1,0,34
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,20,12,6,2,40
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,0,1,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,8,11,1,0,20
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,9,6,1,2,18
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,0,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,2,2,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,2,1,0,5,8
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,5,11,3,4,23
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,1,1,2,4,8
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,15,15,0,0,30
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,19,15,2,1,37
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,10,7,2,5,24
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,41,42,5,7,95
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,7,3,2,3,15
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,0,1,1,1,3
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,1,4,1,1,7
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,2,7,1,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,11,12,4,4,31
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,4,4,3,3,14
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,7,10,3,2,22
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,5,11,0,0,16
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,1,0,1,2,4
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,40,25,2,3,70
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,15,14,5,5,39
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da dosis,2018-01-01,1,4,3,1,9
