,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,2,1,3,8
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,18,8,9,54
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,19,16,0,1,36
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,16,15,4,7,42
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,1,1,2
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,10,0,0,17
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,4,6,4,6,20
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,4,0,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,0,0,1,3
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,4,2,4,11
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,5,3,3,17
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,0,2,6,10
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,8,14,1,0,23
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,21,20,2,5,48
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,7,8,5,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,31,25,4,0,60
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,11,1,0,17
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,2,1,2,2,7
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,3,1,5,3,12
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,7,4,0,0,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,9,12,3,7,31
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,5,2,2,0,9
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,10,8,8,7,33
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,6,4,0,0,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,0,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,1,0,1,1,3
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2018-01-01,0,0,1,1,2
