,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,0,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2018-01-01,23,18,7,7,55
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2018-01-01,9,5,1,0,15
AIQUILE,vacunaciones en menores de 1 ano,bcg,2018-01-01,17,19,1,2,39
ALALAY,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,0,2,0,2
ALCALA,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,2,0,0,3
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2018-01-01,4,6,2,0,12
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,3,6,5,15
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,0,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2018-01-01,2,1,0,1,4
ANZALDO,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,3,4,2,9
APOLO,vacunaciones en menores de 1 ano,bcg,2018-01-01,2,7,4,3,16
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,1,3,2,7
ARANI,vacunaciones en menores de 1 ano,bcg,2018-01-01,10,5,0,0,15
ARBIETO,vacunaciones en menores de 1 ano,bcg,2018-01-01,9,2,6,3,20
ARQUE,vacunaciones en menores de 1 ano,bcg,2018-01-01,4,5,6,3,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2018-01-01,28,25,6,2,61
ATOCHA,vacunaciones en menores de 1 ano,bcg,2018-01-01,13,8,1,0,22
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,0,4,3,7
AYATA,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,0,3,2,5
AYO AYO,vacunaciones en menores de 1 ano,bcg,2018-01-01,4,1,2,1,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2018-01-01,5,7,4,2,18
AZURDUY,vacunaciones en menores de 1 ano,bcg,2018-01-01,2,4,1,4,11
BATALLAS,vacunaciones en menores de 1 ano,bcg,2018-01-01,4,2,8,7,21
BAURES,vacunaciones en menores de 1 ano,bcg,2018-01-01,8,5,0,0,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2018-01-01,0,0,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2018-01-01,36,28,0,0,64
BETANZOS,vacunaciones en menores de 1 ano,bcg,2018-01-01,13,7,8,12,40
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,1,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2018-01-01,1,0,1,1,3
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2018-01-01,2,4,1,4,11
CABEZAS,vacunaciones en menores de 1 ano,bcg,2018-01-01,23,18,7,8,56
CAIROMA,vacunaciones en menores de 1 ano,bcg,2018-01-01,10,3,1,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2018-01-01,1,1,5,4,11
CAJUATA,vacunaciones en menores de 1 ano,bcg,2018-01-01,12,4,0,0,16
