municipality,group,variable,month,Restauraciones,TOTAL
ACHACACHI,consultas odontologicas,restauraciones,2005-01-01,44,44
ACHOCALLA,consultas odontologicas,restauraciones,2005-01-01,4,4
AIQUILE,consultas odontologicas,restauraciones,2005-01-01,220,220
ALALAY,consultas odontologicas,restauraciones,2005-01-01,15,15
ALCALA,consultas odontologicas,restauraciones,2005-01-01,20,20
ARANI,consultas odontologicas,restauraciones,2005-01-01,78,78
ARQUE,consultas odontologicas,restauraciones,2005-01-01,79,79
AYATA,consultas odontologicas,restauraciones,2005-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2005-01-01,79,79
AZURDUY,consultas odontologicas,restauraciones,2005-01-01,78,78
BELEN DE URMIRI,consultas odontologicas,restauraciones,2005-01-01,8,8
BERMEJO,consultas odontologicas,restauraciones,2005-01-01,111,111
BETANZOS,consultas odontologicas,restauraciones,2005-01-01,36,36
BOLIVAR,consultas odontologicas,restauraciones,2005-01-01,25,25
BOYUIBE,consultas odontologicas,restauraciones,2005-01-01,69,69
"CAIZA ""D""",consultas odontologicas,restauraciones,2005-01-01,9,9
CAJUATA,consultas odontologicas,restauraciones,2005-01-01,34,34
CALACOTO,consultas odontologicas,restauraciones,2005-01-01,22,22
CALAMARCA,consultas odontologicas,restauraciones,2005-01-01,5,5
CAMARGO,consultas odontologicas,restauraciones,2005-01-01,191,191
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2005-01-01,27,27
CAMIRI,consultas odontologicas,restauraciones,2005-01-01,210,210
CAPINOTA,consultas odontologicas,restauraciones,2005-01-01,60,60
CAQUIAVIRI,consultas odontologicas,restauraciones,2005-01-01,2,2
CARACOLLO,consultas odontologicas,restauraciones,2005-01-01,12,12
CARANAVI,consultas odontologicas,restauraciones,2005-01-01,56,56
CARAPARI,consultas odontologicas,restauraciones,2005-01-01,26,26
CHALLAPATA,consultas odontologicas,restauraciones,2005-01-01,111,111
CHAQUI,consultas odontologicas,restauraciones,2005-01-01,14,14
CHARAGUA,consultas odontologicas,restauraciones,2005-01-01,27,27
CHARAÑA,consultas odontologicas,restauraciones,2005-01-01,5,5
CHAYANTA,consultas odontologicas,restauraciones,2005-01-01,38,38
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2005-01-01,60,60
COBIJA,consultas odontologicas,restauraciones,2005-01-01,189,189
COCHABAMBA,consultas odontologicas,restauraciones,2005-01-01,5482,5482
COLCAPIRHUA,consultas odontologicas,restauraciones,2005-01-01,99,99
"COLCHA ""K""",consultas odontologicas,restauraciones,2005-01-01,3,3
COLOMI,consultas odontologicas,restauraciones,2005-01-01,63,63
COLQUECHACA,consultas odontologicas,restauraciones,2005-01-01,17,17
COMARAPA,consultas odontologicas,restauraciones,2005-01-01,200,200
CONCEPCION,consultas odontologicas,restauraciones,2005-01-01,28,28
