municipality,group,variable,month,Periodoncias,TOTAL
ACHACACHI,consultas odontologicas,periodoncias,2005-01-01,24,24
AIQUILE,consultas odontologicas,periodoncias,2005-01-01,149,149
ALALAY,consultas odontologicas,periodoncias,2005-01-01,15,15
ALCALA,consultas odontologicas,periodoncias,2005-01-01,3,3
APOLO,consultas odontologicas,periodoncias,2005-01-01,57,57
ARANI,consultas odontologicas,periodoncias,2005-01-01,11,11
ARQUE,consultas odontologicas,periodoncias,2005-01-01,4,4
AUCAPATA,consultas odontologicas,periodoncias,2005-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,periodoncias,2005-01-01,72,72
AZURDUY,consultas odontologicas,periodoncias,2005-01-01,7,7
BOYUIBE,consultas odontologicas,periodoncias,2005-01-01,6,6
CAJUATA,consultas odontologicas,periodoncias,2005-01-01,12,12
CAMARGO,consultas odontologicas,periodoncias,2005-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,periodoncias,2005-01-01,7,7
CAMIRI,consultas odontologicas,periodoncias,2005-01-01,19,19
CAPINOTA,consultas odontologicas,periodoncias,2005-01-01,6,6
CHALLAPATA,consultas odontologicas,periodoncias,2005-01-01,3,3
CHAQUI,consultas odontologicas,periodoncias,2005-01-01,12,12
CHARAGUA,consultas odontologicas,periodoncias,2005-01-01,2,2
CHAYANTA,consultas odontologicas,periodoncias,2005-01-01,17,17
COBIJA,consultas odontologicas,periodoncias,2005-01-01,26,26
COCHABAMBA,consultas odontologicas,periodoncias,2005-01-01,217,217
COLCAPIRHUA,consultas odontologicas,periodoncias,2005-01-01,16,16
"COLCHA ""K""",consultas odontologicas,periodoncias,2005-01-01,3,3
COLOMI,consultas odontologicas,periodoncias,2005-01-01,17,17
COLQUECHACA,consultas odontologicas,periodoncias,2005-01-01,1,1
COLQUENCHA,consultas odontologicas,periodoncias,2005-01-01,1,1
CONCEPCION,consultas odontologicas,periodoncias,2005-01-01,3,3
COPACABANA,consultas odontologicas,periodoncias,2005-01-01,5,5
CORO CORO,consultas odontologicas,periodoncias,2005-01-01,2,2
CULPINA,consultas odontologicas,periodoncias,2005-01-01,4,4
CURAHUARA DE CARANGAS,consultas odontologicas,periodoncias,2005-01-01,2,2
EL ALTO,consultas odontologicas,periodoncias,2005-01-01,270,270
EL PUENTE(TJA),consultas odontologicas,periodoncias,2005-01-01,2,2
EL VILLAR,consultas odontologicas,periodoncias,2005-01-01,3,3
ENTRE RIOS,consultas odontologicas,periodoncias,2005-01-01,5,5
EUREKA (SANTOS MERCADO),consultas odontologicas,periodoncias,2005-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,periodoncias,2005-01-01,3,3
GUAYARAMERIN,consultas odontologicas,periodoncias,2005-01-01,2,2
GUTIERREZ,consultas odontologicas,periodoncias,2005-01-01,3,3
HUAYLLAMARCA,consultas odontologicas,periodoncias,2005-01-01,2,2
