municipality,group,variable,month,Pulpotomías,TOTAL
ACACIO,consultas odontologicas,pulpotomias,2005-01-01,2,2
ACHACACHI,consultas odontologicas,pulpotomias,2005-01-01,176,176
ACHOCALLA,consultas odontologicas,pulpotomias,2005-01-01,32,32
AIQUILE,consultas odontologicas,pulpotomias,2005-01-01,63,63
ALALAY,consultas odontologicas,pulpotomias,2005-01-01,16,16
ALCALA,consultas odontologicas,pulpotomias,2005-01-01,19,19
ANDAMARCA,consultas odontologicas,pulpotomias,2005-01-01,2,2
ANZALDO,consultas odontologicas,pulpotomias,2005-01-01,29,29
APOLO,consultas odontologicas,pulpotomias,2005-01-01,212,212
ARANI,consultas odontologicas,pulpotomias,2005-01-01,48,48
ARQUE,consultas odontologicas,pulpotomias,2005-01-01,30,30
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2005-01-01,26,26
ATOCHA,consultas odontologicas,pulpotomias,2005-01-01,170,170
AUCAPATA,consultas odontologicas,pulpotomias,2005-01-01,26,26
AYATA,consultas odontologicas,pulpotomias,2005-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2005-01-01,55,55
AZURDUY,consultas odontologicas,pulpotomias,2005-01-01,63,63
BATALLAS,consultas odontologicas,pulpotomias,2005-01-01,5,5
BAURES,consultas odontologicas,pulpotomias,2005-01-01,59,59
BERMEJO,consultas odontologicas,pulpotomias,2005-01-01,100,100
BETANZOS,consultas odontologicas,pulpotomias,2005-01-01,50,50
BOLIVAR,consultas odontologicas,pulpotomias,2005-01-01,29,29
BOYUIBE,consultas odontologicas,pulpotomias,2005-01-01,25,25
BUENA VISTA,consultas odontologicas,pulpotomias,2005-01-01,34,34
CABEZAS,consultas odontologicas,pulpotomias,2005-01-01,2,2
CAIROMA,consultas odontologicas,pulpotomias,2005-01-01,24,24
"CAIZA ""D""",consultas odontologicas,pulpotomias,2005-01-01,6,6
CAJUATA,consultas odontologicas,pulpotomias,2005-01-01,130,130
CALACOTO,consultas odontologicas,pulpotomias,2005-01-01,11,11
CALAMARCA,consultas odontologicas,pulpotomias,2005-01-01,26,26
CAMARGO,consultas odontologicas,pulpotomias,2005-01-01,56,56
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2005-01-01,9,9
CAMIRI,consultas odontologicas,pulpotomias,2005-01-01,158,158
CAPINOTA,consultas odontologicas,pulpotomias,2005-01-01,31,31
CAQUIAVIRI,consultas odontologicas,pulpotomias,2005-01-01,26,26
CARACOLLO,consultas odontologicas,pulpotomias,2005-01-01,67,67
CARANAVI,consultas odontologicas,pulpotomias,2005-01-01,105,105
CARAPARI,consultas odontologicas,pulpotomias,2005-01-01,42,42
CARMEN RIVERO TORREZ,consultas odontologicas,pulpotomias,2005-01-01,6,6
CATACORA,consultas odontologicas,pulpotomias,2005-01-01,59,59
CHALLAPATA,consultas odontologicas,pulpotomias,2005-01-01,58,58
CHAQUI,consultas odontologicas,pulpotomias,2005-01-01,16,16
CHARAGUA,consultas odontologicas,pulpotomias,2005-01-01,62,62
CHARAÑA,consultas odontologicas,pulpotomias,2005-01-01,25,25
CHAYANTA,consultas odontologicas,pulpotomias,2005-01-01,50,50
CHIMORE,consultas odontologicas,pulpotomias,2005-01-01,44,44
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,pulpotomias,2005-01-01,55,55
CHUMA,consultas odontologicas,pulpotomias,2005-01-01,44,44
CLIZA,consultas odontologicas,pulpotomias,2005-01-01,19,19
COBIJA,consultas odontologicas,pulpotomias,2005-01-01,206,206
COCHABAMBA,consultas odontologicas,pulpotomias,2005-01-01,1458,1458
COLCAPIRHUA,consultas odontologicas,pulpotomias,2005-01-01,9,9
"COLCHA ""K""",consultas odontologicas,pulpotomias,2005-01-01,18,18
COLOMI,consultas odontologicas,pulpotomias,2005-01-01,17,17
COLQUECHACA,consultas odontologicas,pulpotomias,2005-01-01,48,48
COLQUENCHA,consultas odontologicas,pulpotomias,2005-01-01,10,10
COLQUIRI,consultas odontologicas,pulpotomias,2005-01-01,31,31
COMARAPA,consultas odontologicas,pulpotomias,2005-01-01,94,94
CONCEPCION,consultas odontologicas,pulpotomias,2005-01-01,2,2
COPACABANA,consultas odontologicas,pulpotomias,2005-01-01,25,25
CORIPATA,consultas odontologicas,pulpotomias,2005-01-01,50,50
CORO CORO,consultas odontologicas,pulpotomias,2005-01-01,61,61
COROICO,consultas odontologicas,pulpotomias,2005-01-01,207,207
CORQUE,consultas odontologicas,pulpotomias,2005-01-01,9,9
COTAGAITA,consultas odontologicas,pulpotomias,2005-01-01,122,122
COTOCA,consultas odontologicas,pulpotomias,2005-01-01,50,50
CUATRO CAÑADAS,consultas odontologicas,pulpotomias,2005-01-01,16,16
CUEVO,consultas odontologicas,pulpotomias,2005-01-01,80,80
CULPINA,consultas odontologicas,pulpotomias,2005-01-01,35,35
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2005-01-01,63,63
DESAGUADERO,consultas odontologicas,pulpotomias,2005-01-01,113,113
EL ALTO,consultas odontologicas,pulpotomias,2005-01-01,4736,4736
EL PUENTE(STC),consultas odontologicas,pulpotomias,2005-01-01,36,36
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2005-01-01,40,40
EL TORNO,consultas odontologicas,pulpotomias,2005-01-01,83,83
EL VILLAR,consultas odontologicas,pulpotomias,2005-01-01,23,23
ENTRE RIOS,consultas odontologicas,pulpotomias,2005-01-01,31,31
ENTRE RIOS,consultas odontologicas,pulpotomias,2005-01-01,27,27
EUCALIPTUS,consultas odontologicas,pulpotomias,2005-01-01,23,23
EUREKA (SANTOS MERCADO),consultas odontologicas,pulpotomias,2005-01-01,8,8
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2005-01-01,37,37
FILADELFIA,consultas odontologicas,pulpotomias,2005-01-01,19,19
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2005-01-01,48,48
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2005-01-01,57,57
GUANAY,consultas odontologicas,pulpotomias,2005-01-01,40,40
GUAQUI,consultas odontologicas,pulpotomias,2005-01-01,25,25
GUAYARAMERIN,consultas odontologicas,pulpotomias,2005-01-01,273,273
GUTIERREZ,consultas odontologicas,pulpotomias,2005-01-01,62,62
HUACARETA,consultas odontologicas,pulpotomias,2005-01-01,31,31
HUACHACALLA,consultas odontologicas,pulpotomias,2005-01-01,5,5
