municipality,group,variable,month,Primeras consultas,TOTAL
ACACIO,consultas odontologicas,primeras consultas,2005-01-01,162,162
AIQUILE,consultas odontologicas,primeras consultas,2005-01-01,1,1
ALALAY,consultas odontologicas,primeras consultas,2005-01-01,18,18
ARBIETO,consultas odontologicas,primeras consultas,2005-01-01,36,36
BELEN DE URMIRI,consultas odontologicas,primeras consultas,2005-01-01,4,4
BERMEJO,consultas odontologicas,primeras consultas,2005-01-01,89,89
BOYUIBE,consultas odontologicas,primeras consultas,2005-01-01,122,122
CABEZAS,consultas odontologicas,primeras consultas,2005-01-01,58,58
CAMIRI,consultas odontologicas,primeras consultas,2005-01-01,592,592
CARAPARI,consultas odontologicas,primeras consultas,2005-01-01,19,19
CHALLAPATA,consultas odontologicas,primeras consultas,2005-01-01,280,280
CHAQUI,consultas odontologicas,primeras consultas,2005-01-01,43,43
CHARAGUA,consultas odontologicas,primeras consultas,2005-01-01,108,108
CHAYANTA,consultas odontologicas,primeras consultas,2005-01-01,121,121
COBIJA,consultas odontologicas,primeras consultas,2005-01-01,9,9
COCHABAMBA,consultas odontologicas,primeras consultas,2005-01-01,1012,1012
COLCAPIRHUA,consultas odontologicas,primeras consultas,2005-01-01,65,65
COLOMI,consultas odontologicas,primeras consultas,2005-01-01,106,106
CONCEPCION,consultas odontologicas,primeras consultas,2005-01-01,10,10
CUEVO,consultas odontologicas,primeras consultas,2005-01-01,295,295
ENTRE RIOS,consultas odontologicas,primeras consultas,2005-01-01,262,262
GENERAL SAAVEDRA,consultas odontologicas,primeras consultas,2005-01-01,4,4
GUTIERREZ,consultas odontologicas,primeras consultas,2005-01-01,52,52
LA PAZ,consultas odontologicas,primeras consultas,2005-01-01,398,398
LAGUNILLAS,consultas odontologicas,primeras consultas,2005-01-01,194,194
LLALLAGUA,consultas odontologicas,primeras consultas,2005-01-01,272,272
MIZQUE,consultas odontologicas,primeras consultas,2005-01-01,37,37
MOROCHATA,consultas odontologicas,primeras consultas,2005-01-01,258,258
PORCO,consultas odontologicas,primeras consultas,2005-01-01,5,5
POTOSI,consultas odontologicas,primeras consultas,2005-01-01,66,66
QUILLACOLLO,consultas odontologicas,primeras consultas,2005-01-01,1108,1108
SACABA,consultas odontologicas,primeras consultas,2005-01-01,385,385
SAN ANDRES,consultas odontologicas,primeras consultas,2005-01-01,4,4
SAN BORJA,consultas odontologicas,primeras consultas,2005-01-01,20,20
SAN JAVIER(STC),consultas odontologicas,primeras consultas,2005-01-01,6,6
SAN JOAQUIN,consultas odontologicas,primeras consultas,2005-01-01,49,49
SAN LORENZO(TJA),consultas odontologicas,primeras consultas,2005-01-01,47,47
SAN PEDRO DE BUENA VISTA,consultas odontologicas,primeras consultas,2005-01-01,222,222
SAN RAMON,consultas odontologicas,primeras consultas,2005-01-01,17,17
SANTA ANA,consultas odontologicas,primeras consultas,2005-01-01,10,10
SANTA CRUZ DE LA SIERRA,consultas odontologicas,primeras consultas,2005-01-01,65,65
SIPE SIPE,consultas odontologicas,primeras consultas,2005-01-01,385,385
TARIJA,consultas odontologicas,primeras consultas,2005-01-01,1083,1083
TIQUIPAYA,consultas odontologicas,primeras consultas,2005-01-01,615,615
TIRAQUE (CBBA),consultas odontologicas,primeras consultas,2005-01-01,238,238
TUPIZA,consultas odontologicas,primeras consultas,2005-01-01,2,2
UNCIA,consultas odontologicas,primeras consultas,2005-01-01,385,385
VILLA TUNARI,consultas odontologicas,primeras consultas,2005-01-01,574,574
VINTO,consultas odontologicas,primeras consultas,2005-01-01,80,80
BELEN DE URMIRI,consultas odontologicas,primeras consultas,2005-02-01,2,2
BERMEJO,consultas odontologicas,primeras consultas,2005-02-01,308,308
BOYUIBE,consultas odontologicas,primeras consultas,2005-02-01,163,163
CABEZAS,consultas odontologicas,primeras consultas,2005-02-01,148,148
CAMIRI,consultas odontologicas,primeras consultas,2005-02-01,565,565
CAPINOTA,consultas odontologicas,primeras consultas,2005-02-01,1,1
CARAPARI,consultas odontologicas,primeras consultas,2005-02-01,64,64
CHALLAPATA,consultas odontologicas,primeras consultas,2005-02-01,220,220
CHARAGUA,consultas odontologicas,primeras consultas,2005-02-01,207,207
CHAYANTA,consultas odontologicas,primeras consultas,2005-02-01,194,194
COBIJA,consultas odontologicas,primeras consultas,2005-02-01,2,2
COCHABAMBA,consultas odontologicas,primeras consultas,2005-02-01,1115,1115
COLCAPIRHUA,consultas odontologicas,primeras consultas,2005-02-01,49,49
COLOMI,consultas odontologicas,primeras consultas,2005-02-01,99,99
CONCEPCION,consultas odontologicas,primeras consultas,2005-02-01,18,18
CUATRO CAÑADAS,consultas odontologicas,primeras consultas,2005-02-01,2,2
CUEVO,consultas odontologicas,primeras consultas,2005-02-01,25,25
ENTRE RIOS,consultas odontologicas,primeras consultas,2005-02-01,115,115
GENERAL SAAVEDRA,consultas odontologicas,primeras consultas,2005-02-01,17,17
GUTIERREZ,consultas odontologicas,primeras consultas,2005-02-01,47,47
LA PAZ,consultas odontologicas,primeras consultas,2005-02-01,382,382
LAGUNILLAS,consultas odontologicas,primeras consultas,2005-02-01,264,264
LLALLAGUA,consultas odontologicas,primeras consultas,2005-02-01,303,303
MIZQUE,consultas odontologicas,primeras consultas,2005-02-01,174,174
MONTERO,consultas odontologicas,primeras consultas,2005-02-01,2,2
MOROCHATA,consultas odontologicas,primeras consultas,2005-02-01,65,65
PASORAPA,consultas odontologicas,primeras consultas,2005-02-01,38,38
POTOSI,consultas odontologicas,primeras consultas,2005-02-01,61,61
QUILLACOLLO,consultas odontologicas,primeras consultas,2005-02-01,719,719
RIBERALTA,consultas odontologicas,primeras consultas,2005-02-01,1,1
SACABA,consultas odontologicas,primeras consultas,2005-02-01,296,296
SAN LORENZO(TJA),consultas odontologicas,primeras consultas,2005-02-01,43,43
SAN PEDRO DE BUENA VISTA,consultas odontologicas,primeras consultas,2005-02-01,82,82
SANTA CRUZ DE LA SIERRA,consultas odontologicas,primeras consultas,2005-02-01,1338,1338
SIPE SIPE,consultas odontologicas,primeras consultas,2005-02-01,458,458
TACOPAYA,consultas odontologicas,primeras consultas,2005-02-01,8,8
TARIJA,consultas odontologicas,primeras consultas,2005-02-01,705,705
TIQUIPAYA,consultas odontologicas,primeras consultas,2005-02-01,413,413
TIRAQUE (CBBA),consultas odontologicas,primeras consultas,2005-02-01,214,214
UNCIA,consultas odontologicas,primeras consultas,2005-02-01,258,258
URIONDO (A. CONCEPCION),consultas odontologicas,primeras consultas,2005-02-01,48,48
VILLA TUNARI,consultas odontologicas,primeras consultas,2005-02-01,731,731
VINTO,consultas odontologicas,primeras consultas,2005-02-01,88,88
ACACIO,consultas odontologicas,primeras consultas,2005-03-01,149,149
AIQUILE,consultas odontologicas,primeras consultas,2005-03-01,234,234
ALALAY,consultas odontologicas,primeras consultas,2005-03-01,50,50
BERMEJO,consultas odontologicas,primeras consultas,2005-03-01,195,195
BOYUIBE,consultas odontologicas,primeras consultas,2005-03-01,185,185
CABEZAS,consultas odontologicas,primeras consultas,2005-03-01,42,42
CAMIRI,consultas odontologicas,primeras consultas,2005-03-01,705,705
CARAPARI,consultas odontologicas,primeras consultas,2005-03-01,59,59
CHALLAPATA,consultas odontologicas,primeras consultas,2005-03-01,247,247
CHARAGUA,consultas odontologicas,primeras consultas,2005-03-01,335,335
CHAYANTA,consultas odontologicas,primeras consultas,2005-03-01,324,324
COBIJA,consultas odontologicas,primeras consultas,2005-03-01,3,3
COCHABAMBA,consultas odontologicas,primeras consultas,2005-03-01,1422,1422
COLCAPIRHUA,consultas odontologicas,primeras consultas,2005-03-01,44,44
COLOMI,consultas odontologicas,primeras consultas,2005-03-01,84,84
CUEVO,consultas odontologicas,primeras consultas,2005-03-01,120,120
ENTRE RIOS,consultas odontologicas,primeras consultas,2005-03-01,140,140
GUTIERREZ,consultas odontologicas,primeras consultas,2005-03-01,45,45
