municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
ACHACACHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,87,87
ACHOCALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,3,3
AIQUILE,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,90,90
ALALAY,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,77,77
ALCALA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
ANZALDO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
ARANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,10,10
ARBIETO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,74,74
ARQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,53,53
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,9,9
ATOCHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,14,14
AZURDUY,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,15,15
BAURES,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
BELEN DE URMIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,8,8
BERMEJO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,17,17
BETANZOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,12,12
BOLIVAR,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,39,39
BUENA VISTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,5,5
CABEZAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,7,7
CAMARGO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,59,59
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,16,16
CAMIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,21,21
CAPINOTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,10,10
CARACOLLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CARANAVI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
CARAPARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
CARMEN RIVERO TORREZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CHALLAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,13,13
CHAQUI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CHARAGUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CHAYANTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,4,4
CLIZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,18,18
COBIJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,22,22
COCHABAMBA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1778,1778
COLCAPIRHUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,10,10
COLOMI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
COMARAPA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,34,34
CONCEPCION,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,19,19
CORIPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CORO CORO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,11,11
COROICO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,7,7
CORQUE,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,3,3
COTAGAITA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
COTOCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,21,21
CUEVO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
CULPINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,18,18
CURAHUARA DE CARANGAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
DESAGUADERO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
EL ALTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,526,526
EL PUENTE(STC),consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,55,55
EL PUENTE(TJA),consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,3,3
EL TORNO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,8,8
EL VILLAR,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,4,4
ENTRE RIOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,74,74
ENTRE RIOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,74,74
FERNANDEZ ALONSO,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,3,3
GENERAL SAAVEDRA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,4,4
GUANAY,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,3,3
GUAQUI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
GUAYARAMERIN,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,79,79
GUTIERREZ,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,15,15
HUACARETA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
HUANUNI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,7,7
HUARACAJE,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
HUAYLLAMARCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
ICLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,2,2
INCAHUASI,consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,1,1
IRUPANA (VILLA DE LANZA),consultas odontologicas,consultas repetidas en menores de 5 anos,2005-01-01,22,22
